Player,Season,Age,Team,Shot_/90,Passes_completed,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_10yards_forward,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Role,Tier_league
Gaëtan Paquiez,2020-2021,26,Nîmes,0.02,0,30.3,40.1,0.4,484.8,2.1,63.4,1.9,0.2,0.9,0.3,0,0.9,59.4,0.1,1.1,1.5,1,1,1.5,0.9,0.3,0.6,1.4,3.2,2.4,11.5,0.9,0,0.1,1,41.7,15.5,24.6,10.3,CB,0
Gabriel Magalhães,2018-2019,20,Lille,0.08,30,46.8,54.5,0.2,947.1,5.2,130.7,0.4,0,0.3,0.2,0,1.2,71.9,0.1,1.2,1.1,0.9,0.3,0.3,1.2,0.5,0.7,1.6,3.1,5.1,2.9,2.6,0.1,0.3,0,0,29.9,34.7,1.2,CB,1
Gabriel Magalhães,2019-2020,21,Lille,0.08,23.5,53.3,65.1,0.1,1040.3,5.4,143.1,1.1,0,0.4,0.3,0,0.8,64.8,0.1,0.8,1.1,1.3,0.6,0.3,1.2,0.8,0.4,0.9,2.7,3.7,2.7,1.9,0.1,0.6,0.1,100,28.2,45.2,2.3,CB,1
Gen Shoji,2018-2019,25,Toulouse,0.03,0,34.5,40.7,0.2,726.6,5.9,78.1,0.2,0,0.2,0.3,0.1,0.5,48.8,0.1,0.5,0.4,0.7,0.6,0.7,1.2,0.8,0.4,1.2,2.5,3.1,1.5,1.3,0,0.8,0,100,23,25.3,0.6,CB,0
Gerzino Nyamsi,2020-2021,23,Rennes,0.1,20,59.3,67.9,0.1,1156.6,5.9,127.4,0.7,0,0.8,0.5,0,0.6,58.3,0.2,1,0,1,0.4,0.2,0.8,0.5,0.3,1,2.3,3.3,0.2,0.2,0,0.6,0.1,83.3,31.3,43.1,2.3,CB,0
Gerzino Nyamsi,2021-2022,24,Strasbourg,0.08,21.4,36.6,44.1,0.1,762.6,4.6,122.5,0.3,0,0.6,0.2,0.1,0.4,67.2,0.1,1,0.1,0.6,0.6,0.2,0.8,0.5,0.3,0.8,1.8,2.7,1.1,0.9,0,0.2,0.1,85.7,26.4,24.4,1.7,CB,0
Giulian Biancone,2021-2022,21,Troyes,1.1,36.9,50.2,73.4,0.5,261.8,7.2,108.8,2.3,0.3,1.2,0.4,0.1,1.8,58.5,0.4,1.3,1.3,1.6,1.6,1.1,0.9,0.3,0.6,2.1,4.8,2.8,6.6,0.1,0.6,3.4,3.4,44.4,24.9,25.9,12.8,CB,0
Guillermo Maripán,2019-2020,25,Monaco,0.16,33.3,48.7,55.5,0.1,1020.8,6.7,119.1,0.6,0,0.4,0.1,0.1,0.6,56.5,0.1,0.7,0.3,1.3,1.2,0.9,1.5,0.7,0.9,1.3,3.4,3.5,1.6,1.5,0,0.7,0.2,50,29.3,33.8,2.7,CB,1
Guillermo Maripán,2020-2021,26,Monaco,0.15,40,64.7,71.9,0.3,1352.3,7.7,157.7,0.7,0,0.4,0,0.1,0.4,51.3,0.3,0.8,0.3,0.5,0.6,0.5,0.8,0.5,0.3,1.2,2.3,2.8,1.6,1.5,0,0.5,0.1,100,35.4,43,1.6,CB,1
Guillermo Maripán,2021-2022,27,Monaco,0.09,28.6,58.7,66.3,0.1,1187.5,7.1,121.9,0.5,0.1,0.5,0,0,0.7,55.6,0.2,1,0.5,1.2,1,1,1,0.7,0.3,1.2,3,3.2,1.5,1.4,0.1,0.2,0,80,36.8,36.9,2,CB,1
Haitam Aleesami,2019-2020,28,Amiens,0.1,42.6,56.1,75.8,0.2,273.1,4.2,67,1,0.2,1.1,1,0.1,1.4,67.2,0.2,1.5,0.4,0.8,0.8,1.2,1.6,0.5,1.1,1.6,3.3,2.8,11.2,0,0.1,2.1,2.1,68.4,19.4,35.7,12.3,CB,0
Harold Moukoudi,2019-2020,21,Saint-Étienne,0.11,0,46,53.4,0.1,877,3.7,105.8,0.9,0,0.6,0.3,0,0.3,67.3,0.3,1,0.5,1.7,1,0.3,1.5,0.9,0.5,1.5,4,3.8,1.8,0.9,0,0.1,0.1,71.4,34.5,29.4,1,CB,0
Harold Moukoudi,2020-2021,22,Saint-Étienne,0.17,30.8,40.8,46.1,0,811.9,4.6,73.8,0.5,0,0.3,0.4,0.1,0.6,62.7,0.2,0.9,0.6,1.1,1.1,0.4,0.9,0.4,0.6,1.7,3.5,3.1,1.3,1.1,0,0.4,0,73.3,29.3,25.2,1.5,CB,0
Harold Moukoudi,2021-2022,23,Saint-Étienne,0.12,0,44.7,50.3,0.2,939.5,7.4,101.1,0.4,0.1,0.4,0.2,0,0.7,62.2,0.2,0.8,0.3,0.7,0.8,0.6,1.5,0.8,0.7,1.9,3.3,2.6,1.8,1.6,0,0.9,0,81.8,28.5,30.2,1.6,CB,0
Issa Diop,2017-2018,20,Toulouse,0.6,29.1,36.7,79.3,0.1,257,7.3,83.8,0.4,0,0.3,0.1,0,0.7,61.3,0.2,0.9,0.7,1.3,0.6,0.8,1.1,0.7,0.4,2.2,3.9,3.8,2.2,0,0.4,0.1,0.1,73.3,21,24.1,1.5,CB,1
Jérémy Gélin,2017-2018,20,Rennes,0.05,0,45.3,54.1,0.3,1010.4,9,100.6,0.5,0,0.2,0.1,0.1,1.2,55.6,0.1,1.3,0.6,0.7,0.8,1.3,0.9,0.5,0.4,1.4,2.9,3.6,1.6,1.5,0.1,1.3,0.1,60,22.9,38,1.8,CB,0
