Player,Season,Age,Team,Assist,Non_penalty_goals,Non_penalty_xG,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget%,Passes_completed,Passes_completition%,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,Attempted_long_passes,Carries/90,PrgDist_Carries,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Role,Tier_league
Samuel Kalu,2020-2021,22,Bordeaux,0.1,0.4,0.2,0.0,0.07,2.3,0.5,32.0,20.2,71.8,0.6,0.1,2.4,3.3,30.8,90.5,4.6,2.4,0.2,0.1,2.1,0.7,53.8,1.5,3.4,0.4,0.8,1.3,0.8,2.8,1.4,0.0,0.3,2.6,0.7,0.5,47.4,0.3,5.7,20.2,21.5,4.0,RW,0
Samuel Kalu,2018-2019,20,Bordeaux,0.1,0.2,0.2,0.3,-0.2,0.07,0.08,1.0,35.0,40.2,2.2,0.7,0.2,3.4,47.1,242.2,1.5,2.5,9.4,0.3,0.1,4.1,39.6,1.3,2.7,0.3,0.5,0.8,0.6,2.5,5.1,0.2,0.7,6.7,3.2,0.1,51.7,0.4,6.5,20.7,29.2,3.7,RW,0
Samuel Kalu,2019-2020,21,Bordeaux,0.1,0.1,0.2,0.1,0.0,0.07,0.03,0.7,28.2,34.7,1.9,0.4,0.3,1.9,50.9,223.5,1.7,2.9,8.6,0.3,0.1,2.7,37.3,2.0,2.0,1.1,1.3,0.9,1.6,3.8,2.0,0.1,0.5,2.0,0.1,0.3,50.0,1.2,8.5,24.7,19.8,3.5,RW,0
Sofiane Boufal,2020-2021,26,Angers,0.0,0.1,0.2,0.0,0.13,1.6,0.2,38.5,25.3,71.8,0.7,0.0,4.2,3.8,34.4,114.2,3.3,2.6,0.2,0.0,2.0,1.0,50.0,2.7,2.8,1.0,2.5,1.0,0.4,2.5,0.9,0.5,0.2,2.5,0.6,0.0,50.0,0.2,7.0,25.1,20.5,3.4,AM,0
Sofiane Boufal,2021-2022,27,Angers,0.2,0.2,0.2,0.2,0.11,2.3,0.21,40.0,28.8,73.4,1.3,0.2,4.8,6.1,38.9,130.1,4.2,2.9,0.6,0.3,5.3,2.4,24.5,1.7,3.1,0.7,0.8,0.7,0.3,2.0,5.7,0.5,0.4,4.2,3.2,0.6,46.0,0.3,3.2,27.6,26.3,4.1,AM,0
Sofiane Diop,2018-2019,18,Monaco,0.0,0.0,0.1,0.0,0.06,1.2,0.0,20.0,19.6,67.4,0.4,0.0,2.2,3.3,29.4,93.8,2.8,2.7,0.0,0.0,2.4,1.5,38.9,2.2,1.3,0.1,1.7,0.7,1.0,2.4,1.1,0.2,0.5,1.9,0.4,0.1,41.2,0.2,5.7,21.6,15.1,1.3,LW,0
Sofiane Diop,2020-2021,20,Monaco,0.0,0.3,0.2,0.1,0.11,2.0,0.41,38.6,34.3,78.2,1.2,0.1,5.7,4.0,33.1,92.7,2.4,1.6,0.5,0.3,3.0,2.3,36.0,1.5,2.5,0.8,1.6,1.1,1.4,3.6,1.6,0.0,0.3,1.7,0.4,0.2,63.4,0.9,7.6,30.0,20.2,2.5,LW,0
Sofiane Diop,2021-2022,21,Monaco,0.2,0.3,0.3,0.2,0.15,1.7,0.46,35.1,32.7,72.5,1.7,0.2,6.0,7.0,35.4,97.7,3.3,1.6,0.5,0.4,3.6,2.3,30.0,1.3,1.9,0.7,1.5,0.5,1.1,2.8,4.7,0.4,0.9,4.4,2.6,0.2,55.4,0.4,5.4,24.5,28.5,3.9,LW,0
Stephy Mavididi,2019-2020,21,Dijon,0.1,0.3,0.2,0.1,0.11,1.7,0.56,34.6,17.8,79.0,0.7,0.1,1.9,1.2,22.4,82.9,3.4,2.7,0.1,0.0,1.7,1.2,15.6,1.4,1.4,0.6,1.0,0.7,0.5,1.6,0.5,0.1,0.1,1.0,0.0,0.1,53.7,0.6,4.7,16.9,15.2,3.4,LW,0
Stephy Mavididi,2020-2021,22,Montpellier,0.0,0.4,0.2,0.0,0.2,1.3,0.53,56.7,16.7,76.3,0.3,0.1,1.0,1.2,23.1,81.1,3.2,1.7,0.3,0.0,1.6,0.8,21.8,1.4,1.5,0.4,0.7,0.5,0.6,1.4,0.5,0.0,0.1,1.3,0.0,0.1,42.7,0.3,4.9,14.0,16.1,2.9,LW,0
Stephy Mavididi,2021-2022,23,Montpellier,0.1,0.3,0.3,0.1,0.14,2.3,0.35,38.3,17.0,77.8,0.6,0.2,1.3,1.0,25.1,78.2,3.0,2.4,0.3,0.1,2.5,1.5,16.3,0.9,1.7,0.5,1.0,0.9,0.3,1.3,0.5,0.0,0.0,1.0,0.0,0.2,41.7,0.7,4.2,15.6,16.0,3.4,LW,0
Stiven Mendoza,2017-2018,25,Amiens,0.0,0.2,0.2,0.1,0.09,2.2,0.33,24.0,22.8,71.7,0.5,0.2,2.0,3.2,26.2,66.2,2.9,2.2,0.2,0.1,2.8,1.7,25.0,0.8,0.7,0.2,0.8,1.0,1.3,2.9,3.1,0.3,0.1,2.9,1.8,0.0,68.4,0.5,7.3,20.3,17.2,2.3,LW,0
Stiven Mendoza,2018-2019,26,Amiens,0.1,0.1,0.1,0.1,0.07,2.0,0.25,19.0,23.6,70.7,1.2,0.3,3.8,4.2,29.9,101.0,3.3,2.6,0.3,0.2,3.1,1.9,36.4,1.2,2.2,0.7,1.2,0.9,0.8,2.2,4.0,0.0,0.3,4.0,1.7,0.1,56.2,0.7,5.6,21.5,20.9,2.4,LW,0
Stiven Mendoza,2019-2020,27,Amiens,0.0,0.4,0.3,0.1,0.16,1.9,0.5,43.5,21.4,67.9,0.7,0.1,2.6,2.8,26.4,108.4,3.5,2.7,0.3,0.2,2.5,1.5,36.4,1.7,1.7,0.3,1.5,1.1,0.7,1.7,1.2,0.2,0.5,1.9,0.2,0.1,59.1,0.7,4.5,22.0,18.1,2.4,LW,0
