Player,Season,Age,Team,Assist,G+A,Non_penalty_goals,Non_penalty_xG,Expected_assisted_goals,Expected_assists,Non_penalty_expGoals_perShot,Shot_/90,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_toShot,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Attempted_long_passes,Long_passes_Cmp%,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Fouls_committed,Fouls_drawn,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Interceptions,Tackles_+Interc,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Succ_Takes_on%,Touches_Def_3rd,Touches_Att_Pen,Role,Tier_league
Alexis Blin,2018-2019,21,Amiens,0.0,0.1,0.0,0.0,0.0,0.0,0.06,0.3,1.0,0.0,14.3,0.3,0.3,0.1,4.2,534.8,174.3,3.4,64.0,94.5,42.2,0.4,0.4,0.0,1.4,0.8,0.1,0.1,1.1,1.0,49.5,1.4,1.5,1.6,2.4,1.8,0.6,1.5,5.0,0.8,0.6,0.0,0.4,0.2,55.6,12.5,0.4,DM,0
Alexis Blin,2019-2020,22,Amiens,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.1,,0.0,0.0,0.3,0.2,0.0,4.9,712.8,209.9,5.1,69.5,112.8,52.4,0.5,0.5,0.0,1.4,0.5,0.0,0.0,0.8,0.6,50.6,1.6,1.3,1.0,2.0,1.2,0.3,0.8,2.7,1.9,1.5,0.0,0.4,0.9,66.7,13.9,0.2,DM,0
Amadou Onana,2021-2022,19,Lille,0.0,0.1,0.1,0.2,0.1,0.1,0.17,1.0,0.17,0.4,40.0,1.0,0.5,0.0,3.9,591.5,145.9,5.7,70.9,182.3,88.8,1.6,1.0,0.2,1.2,0.6,0.1,0.0,2.2,1.9,53.3,2.1,1.7,1.2,0.5,0.7,0.2,2.0,5.2,0.3,0.3,0.3,0.3,0.1,61.9,11.4,1.3,DM,1
Andrés Cubas,2020-2021,24,Nîmes,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.4,0.2,0.2,45.5,0.4,0.2,0.0,3.1,618.6,194.6,5.9,64.4,109.9,49.8,0.2,0.4,0.1,1.0,0.9,0.0,0.0,0.8,0.7,16.7,1.4,0.7,1.3,1.6,1.5,0.4,2.0,5.2,1.7,1.4,0.0,0.6,0.5,58.8,17.0,0.3,DM,0
Andre-Frank Zambo Anguissa,2017-2018,21,Marseille,0.0,0.0,0.0,0.1,0.1,0.1,0.05,1.3,0.0,0.3,20.6,1.0,0.4,0.1,5.4,750.3,238.3,3.1,67.5,277.1,129.2,2.2,2.4,0.3,1.6,1.5,0.2,0.1,2.7,1.8,62.4,2.1,2.1,1.2,2.3,1.8,0.3,2.5,5.7,1.1,0.8,0.1,0.1,0.6,76.9,13.4,1.2,DM,1
Antonin Bobichon,2018-2019,22,Nîmes,0.1,0.4,0.3,0.1,0.1,0.1,0.05,1.5,0.64,0.5,30.6,1.1,0.3,0.0,3.9,477.3,141.7,5.3,58.3,142.0,73.4,1.7,1.3,0.4,1.2,1.0,0.2,0.0,2.7,1.8,30.9,1.5,0.5,0.7,1.8,0.6,0.1,0.6,2.0,2.5,1.1,0.1,0.4,2.0,51.5,7.7,1.0,CM,0
Antonin Bobichon,2019-2020,23,2 Teams,0.1,0.3,0.2,0.1,0.1,0.1,0.05,2.4,0.4,0.5,22.7,1.0,0.7,0.3,6.4,548.5,163.7,7.3,53.7,152.4,87.8,2.5,2.3,0.3,2.2,1.2,0.3,0.1,3.0,2.1,23.5,1.5,0.9,0.5,1.8,0.9,0.0,0.9,2.3,4.2,1.4,0.0,0.5,4.3,60.0,6.4,1.8,CM,0
Antonin Bobichon,2020-2021,24,Angers,0.1,0.1,0.0,0.1,0.1,0.1,0.04,2.2,0.0,0.3,13.6,1.7,0.5,0.0,6.0,706.7,196.9,8.5,54.7,199.3,90.4,2.0,2.4,0.3,1.7,1.6,0.3,0.2,4.3,2.9,40.0,1.4,1.6,0.9,0.6,0.4,0.1,0.2,2.5,4.9,2.1,0.2,1.2,4.2,69.2,6.5,2.0,CM,0
Arnaud Lusamba,2019-2020,22,Nice,0.2,0.3,0.1,0.0,0.1,0.1,0.07,0.5,0.33,0.3,50.0,1.6,0.3,0.0,3.9,529.0,123.0,3.3,75.0,104.8,48.8,0.6,1.6,0.2,2.0,1.7,0.4,0.4,2.6,1.8,18.8,0.9,2.0,0.6,1.5,0.8,0.0,0.5,2.3,2.7,1.0,0.0,0.6,1.0,79.2,8.1,0.9,CM,0
Assane Dioussé,2017-2018,19,Saint-Étienne,0.0,0.1,0.1,0.1,0.0,0.0,0.08,0.7,0.33,0.2,30.0,0.5,0.3,0.0,6.2,882.7,248.1,8.7,69.2,156.8,67.4,0.9,0.4,0.2,1.1,1.5,0.0,0.0,1.0,1.0,40.0,1.7,1.0,0.9,1.4,1.9,0.1,0.7,2.9,1.7,0.8,0.2,0.7,0.7,86.7,14.9,0.6,DM,0
