Player,Season,Age,Team,Expected_assists,Shot_/90,Passes_attempted,Passes_completition%,Crosses_into18yard_box,TotProgressive_passes,Attempted_long_passes,PrgDist_Carries,Carries_into_final_third,Miscontrols,Dispossesd,Received,Shot_creating_actions,Aerials_Won%,Yellow_cards,Fouls_committed,Fouls_drawn,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Touches_Def_Pen,Touches_Def__3rd,Touches_Mid__3rd,Touches_Att__3rd,Touches_Att__Pen,Role,Tier_league
Nicolas Cozza,2018-2019,19,Montpellier,0,0,43,83.8,0,203.8,4.9,96.4,0.8,1.7,0.7,31.6,0.7,42.4,0,1,0.9,1.4,0.4,0.5,0.9,0.3,2.1,3.8,3.4,3,0,0.5,0.2,0.2,0,57.1,3.7,24.5,26.2,5,0.3,LB,0
Nicolas Cozza,2020-2021,21,Montpellier,0,0.1,39.6,78.8,0.1,256.5,5.7,89.9,1.5,1.4,0.2,28.1,0.8,40.5,0.1,1.1,1.1,2,1.3,1.3,0.7,0.6,1.7,4.3,4.1,5.3,0,0.1,0.9,0.9,0,60,5.7,22.3,22.7,7.4,0.4,LB,0
Nicolas Cozza,2021-2022,22,Montpellier,0,0.2,44.7,81,0.1,229,6.1,94.7,1,1.6,0.5,33.1,1,53.3,0.1,0.8,0.6,1.5,1.1,1,0.6,0.5,1.2,3.8,2.7,4.2,0,0.2,0.8,0.8,0,54.5,5.3,26.9,23,6.7,0.9,LB,0
Nordi Mukiele,2017-2018,19,Montpellier,0.1,0.06,42.6,56.9,1.1,776.6,5.2,141.1,1.9,1.4,0.9,40.1,2.3,67.6,0.2,1.1,2.1,1.8,0.8,0.6,0.5,0.4,2.4,4.6,3.4,7.4,2.7,0.1,0.7,3.6,0.1,65.1,3.4,21,37.6,12,1.1,RB,1
Nuno Mendes,2021-2022,19,Paris S-G,0.2,0.04,53.2,61.4,0.7,783.5,2.9,106.4,2.3,1.4,1,47.2,2.4,47.6,0.2,1,1.3,1.6,1.4,1.2,0.3,1.2,1.1,3.7,0.9,8.3,1,0,0.2,2.1,0.4,47.5,2.4,16.7,36.3,21.5,1.4,LB,1
Oualid El Hajjam,2017-2018,26,Amiens,0.1,0.03,31.2,44.5,0.5,496.4,2,67.6,1.2,1.6,1.2,24.3,1.2,37,0.2,1.5,1.1,1.8,0.9,1.1,0.2,0.8,2.4,5,3.7,11.9,0.5,0,0.3,2.2,0,59.4,3.8,20.1,27.5,10.9,0.7,RB,0
Patrick Burner,2017-2018,21,Nice,0.1,0.2,64.3,86.1,0.3,295.7,5.7,151.9,1.9,0.8,0.6,47.9,2.2,50,0.2,1,1.4,1.2,0.7,1.3,0,0.6,1.3,3.1,2.3,10.5,0,0.1,1.5,1.5,0,79.4,2.6,25.5,37.7,10.3,0.8,RB,0
Patrick Burner,2018-2019,22,Nice,0,0.5,50.6,83.4,0.3,231.7,3.9,64.7,1.2,1.3,0.7,36.3,0.9,40.7,0.2,1,0.8,1.5,1.1,1.2,0.3,0.7,2.1,4.5,2.7,8.9,0,0,1.6,1.6,0.1,39.4,3.6,22.8,31.2,9.4,0.3,RB,0
Patrick Burner,2019-2020,23,Nice,0,0.4,69,85.6,0.3,348,6,100.2,0.7,0.4,0.2,50.5,1.3,25,0.4,1.1,0.6,1.6,0.9,0.7,0.1,0.6,1.9,4.1,2.3,10,0,0.1,1.5,1.5,0,64.5,2.4,26.1,43.6,9.2,0.6,RB,0
Patrick Burner,2020-2021,24,2 Teams,0,0.4,46.6,76.4,0.2,221.6,6.3,60.6,0.7,1,0.2,28.3,1.6,38.2,0,1,0.8,0.8,0.9,0.9,0.2,0.5,1.6,3.3,2.8,10.9,0,0,1.8,1.8,0,54.5,4.1,20.5,26.9,9.2,0.4,RB,0
