Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Nicolas Isimat-Mirin,2019-2020,Toulouse,CB,0,0.008609477,221,0.10204081632653061,0.053773395597454046,230,0.0653061224489796
Pedro Mendes,2019-2020,Montpellier,CB,0,0.008601163,222,0.09795918367346938,0.16492348296408546,162,0.34285714285714286
Mateo Pavlović,2018-2019,Angers,CB,0,0.008414585,223,0.09387755102040816,0.06690762462070766,222,0.09795918367346938
Andrei Girotto,2020-2021,Nantes,CB,0,0.0082916645,224,0.08979591836734693,0.24385278660163023,116,0.5306122448979592
Jordan Lefort,2018-2019,Amiens,CB,0,0.0076148724,225,0.08571428571428572,0.05410661337587035,229,0.06938775510204082
Gaëtan Paquiez,2018-2019,Nîmes,CB,0,0.0075567476,226,0.08163265306122448,0.11029078648596703,190,0.22857142857142856
Timothée Kolodziejczak,2018-2019,Saint-Étienne,CB,0,0.007249612,227,0.07755102040816327,0.07727588529952073,212,0.13877551020408163
Mamadou Fofana,2020-2021,Metz,CB,0,0.00720124,228,0.07346938775510205,0.04474374287330733,236,0.04081632653061224
Dylan Bronn,2021-2022,Metz,CB,0,0.006827003,229,0.06938775510204082,0.10402516937665662,193,0.2163265306122449
Bakaye Dibassy,2017-2018,Amiens,CB,0,0.006779813,230,0.0653061224489796,0.0768453996418538,213,0.1346938775510204
Cédric Yamberé,2018-2019,Dijon,CB,0,0.0065643736,231,0.061224489795918366,0.06954022179571778,219,0.11020408163265306
Cédric Hountondji,2021-2022,Clermont Foot,CB,0,0.0065133846,232,0.05714285714285714,0.10626851881330715,191,0.22448979591836735
Anthony Briançon,2018-2019,Nîmes,CB,0,0.0060199685,233,0.053061224489795916,0.17225355487110616,154,0.37551020408163266
Andrew Gravillon,2021-2022,Reims,CB,0,0.005751615,234,0.04897959183673469,0.060582747927473424,225,0.08571428571428572
Oussama Haddadi,2017-2018,Dijon,CB,0,0.005454234,235,0.044897959183673466,0.07438711443684685,216,0.12244897959183673
Léo Lacroix,2017-2018,Saint-Étienne,CB,0,0.0054522036,236,0.04081632653061224,0.033103747047362755,244,0.00816326530612245
Arturo Calabresi,2019-2020,Amiens,CB,0,0.00538204,237,0.036734693877551024,0.08542472799308118,202,0.17959183673469387
Christophe Hérelle,2021-2022,Brest,CB,0,0.0053517423,238,0.0326530612244898,0.06836220927665146,221,0.10204081632653061
Loïck Landre,2019-2020,Nîmes,CB,0,0.005300185,239,0.02857142857142857,0.2329182975851653,118,0.5224489795918368
Abdoulaye Bamba,2018-2019,Angers,CB,0,0.0034197436,240,0.024489795918367346,0.07190505576938007,218,0.11428571428571428
Loïck Landre,2018-2019,Nîmes,CB,0,0.0030193026,241,0.02040816326530612,0.04151518025529168,239,0.02857142857142857
Yoann Salmier,2017-2018,Strasbourg,CB,0,0.0027240587,242,0.0163265306122449,0.030718616298551896,245,0.004081632653061225
Gen Shoji,2018-2019,Toulouse,CB,0,0.0026251462,243,0.012244897959183673,0.07414681932195777,217,0.11836734693877551
Oussama Haddadi,2018-2019,Dijon,CB,0,0.0026222714,244,0.00816326530612245,0.08110422478067614,206,0.16326530612244897
Bakaye Dibassy,2018-2019,Amiens,CB,0,0.0022395006,245,0.004081632653061225,0.06466105119762389,223,0.09387755102040816
