Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Júnior Alonso,2017-2018,Lille,CB,0,0.08424895,84,0.6612244897959184,0.18065324261680746,150,0.39183673469387753
Joris Gnagnon,2017-2018,Rennes,CB,0,0.077875026,85,0.6571428571428571,0.2662498737696935,107,0.5673469387755102
Stanley N'Soki,2018-2019,Paris S-G,CB,0,0.076394476,86,0.6530612244897959,0.7317923465669569,20,0.9224489795918367
Flavius Daniliuc,2020-2021,Nice,CB,0,0.0762334,87,0.6489795918367347,0.2854611786292293,102,0.5877551020408164
Christophe Hérelle,2020-2021,Brest,CB,0,0.07523291,88,0.6448979591836734,0.4034161071825085,66,0.7346938775510204
Jérémy Gélin,2017-2018,Rennes,CB,0,0.07294918,89,0.6408163265306123,0.29327826387890926,99,0.6
Sinaly Diomande,2020-2021,Lyon,CB,0,0.06641945,90,0.636734693877551,0.5765953811200949,37,0.8530612244897959
Facundo Medina,2020-2021,Lens,CB,0,0.06602453,91,0.6326530612244898,0.2549906094955168,111,0.5510204081632653
Wout Faes,2020-2021,Reims,CB,0,0.06568101,92,0.6285714285714286,0.1141050053664089,187,0.24081632653061225
Agustín Rogel,2019-2020,Toulouse,CB,0,0.06558665,93,0.6244897959183674,0.1937236348067569,138,0.44081632653061226
Naomichi Ueda,2020-2021,Nîmes,CB,0,0.06503513,94,0.6204081632653061,0.06181340219080468,224,0.08979591836734693
Malang Sarr,2018-2019,Nice,CB,0,0.06408751,95,0.6163265306122448,0.451425465285542,56,0.7755102040816326
Jean-Clair Todibo,2018-2019,Toulouse,CB,0,0.06403333,96,0.6122448979591837,0.1857139413558619,147,0.40408163265306124
Jonathan Panzo,2020-2021,Dijon,CB,0,0.063133486,97,0.6081632653061224,0.18044122590797412,151,0.3877551020408163
Edgar Ié,2017-2018,Lille,CB,0,0.062024124,98,0.6040816326530613,0.07865431619154008,209,0.1510204081632653
Jason Denayer,2018-2019,Lyon,CB,0,0.061882824,99,0.6,0.30407496800127554,92,0.6285714285714286
Jimmy Giraudon,2017-2018,Troyes,CB,0,0.061682913,100,0.5959183673469388,0.043799985968828066,237,0.036734693877551024
Senou Coulibaly,2019-2020,Dijon,CB,0,0.058477458,101,0.5918367346938775,0.3135321773966687,87,0.6489795918367347
Brendan Chardonnet,2020-2021,Brest,CB,0,0.05630882,102,0.5877551020408164,0.35710410580440577,77,0.689795918367347
Jean-Kevin Duverne,2019-2020,Brest,CB,0,0.055575088,103,0.5836734693877551,0.20462060237369267,132,0.46530612244897956
Andy Pelmard,2020-2021,Nice,CB,0,0.052837845,104,0.5795918367346938,0.20017672570059142,136,0.4489795918367347
Pablo,2019-2020,Bordeaux,CB,0,0.05183037,105,0.5755102040816327,0.1689262517782099,158,0.35918367346938773
