Player,Season,Team,Role,p_tier_logistic,p_tier_mlp,p_tier_xgb,p_tier_mean
Opa Nguette,2019-2020,Metz,SS,0.2768323377718777,0.006456695766384178,0.038644914,0.1073113157074186
Efthimis Koulouris,2019-2020,Toulouse,CF,0.23583754696459092,2.1732198336739547e-05,0.03774636,0.09120187927525712
Adrian Grbić,2020-2021,Lorient,CF,0.244909609340665,0.00036290579037929235,0.03727787,0.09418346167041458
Moussa Konaté,2018-2019,Amiens,CF,0.27589672239521124,0.003257125237145499,0.035772234,0.10497536061126267
Steve Mounié,2021-2022,Brest,CF,0.1627889544529753,0.0001703515428513751,0.035274822,0.06607804275357881
Ibrahima Niane,2021-2022,Metz,CF,0.33034308831521253,0.0004168912949084016,0.0350207,0.12192689373244037
Moussa Konaté,2017-2018,Amiens,CF,0.1520512967928714,8.124772555205664e-05,0.034971666,0.062368070036474994
Thierry Ambrose,2020-2021,Metz,CF,0.07575317876799303,8.891555863849547e-05,0.03432277,0.03672162092547162
Casimir Ninga,2018-2019,Caen,CF,0.09853420419447678,2.8237887354657856e-05,0.03373417,0.04409887031305584
Gaëtan Laborde,2019-2020,Montpellier,CF,0.12610900902730574,9.204842586600686e-06,0.03337934,0.05316585085053006
Steve Mounié,2020-2021,Brest,CF,0.2135470370733532,0.0010502028997602753,0.032619238,0.08240549262429792
Kaj Sierhuis,2020-2021,Reims,CF,0.08648255516435051,0.00010756422228182473,0.03235332,0.039647812871442596
Pierre-Yves Hamel,2020-2021,Lorient,CF,0.07989215201621232,1.5312372377922817e-05,0.03213058,0.03734601492801679
Lebo Mothiba,2018-2019,2 Teams,CF,0.4423692535115434,0.008767300170755474,0.032058813,0.16106512212005306
Stéphane Bahoken,2019-2020,Angers,CF,0.07948468737553555,1.4144139303562018e-05,0.031887695,0.03712884223604327
Mario Balotelli,2018-2019,2 Teams,CF,0.1592771418581541,0.00023031290686046868,0.031722587,0.06374334712232904
Yacine Bammou,2017-2018,Nantes,CF,0.08463177459769172,9.233318929830176e-05,0.031416923,0.0387136768648945
Jérémy Le Douaron,2020-2021,Brest,CF,0.19139620748980612,0.00012033805873827271,0.03141358,0.07431004225694672
Ado Onaiwu,2022-2023,Toulouse,CF,0.13145540157422525,6.254277938341483e-05,0.031274255,0.05426406657291399
Suk Hyun-jun,2018-2019,Reims,CF,0.021229302899976526,1.136572094745017e-05,0.03111274,0.017451136145744
Enzo Crivelli,2018-2019,Caen,CF,0.10687972879747723,1.1084365135903527e-05,0.030258538,0.04571645045468814
Kalifa Coulibaly,2019-2020,Nantes,CF,0.07556549041269782,1.2854999190277504e-05,0.029058674,0.034879006587422996
Adama Niane,2017-2018,Troyes,CF,0.22232012494116837,0.000252089519810594,0.028791167,0.08378779376765426
Kalifa Coulibaly,2018-2019,Nantes,CF,0.10175014030897993,2.3701466465096075e-05,0.028561106,0.04344498257570395
M'Baye Niang,2019-2020,Rennes,CF,0.21892780614256735,8.079194147164165e-05,0.028329782,0.08244612675732589
Serhou Guirassy,2018-2019,Amiens,CF,0.23773492408779212,0.00034516957972436556,0.028144855,0.08874164957324975
Suk Hyun-jun,2017-2018,Troyes,CF,0.05034276489762219,3.6835827994601467e-05,0.027468609,0.02594940313930173
Benjamin Jeannot,2017-2018,Dijon,CF,0.1364202547555483,1.9688114316707923e-05,0.026689412,0.05437645164738864
Mama Samba Baldé,2020-2021,Dijon,CF,0.15785059552996972,0.00011683548683098217,0.025460208,0.06114254628388017
Rui Fonte,2018-2019,Lille,CF,0.021626759796074452,1.4915117079207268e-05,0.025215542,0.015619072285687133
Enzo Crivelli,2017-2018,2 Teams,CF,0.07347914750567218,1.0563830027193358e-05,0.025003424,0.03283104508333756
Jérémy Le Douaron,2021-2022,Brest,CF,0.12093921933775935,7.402790871397552e-06,0.024917617,0.04862141318961815
Andy Delort,2017-2018,Toulouse,CF,0.04268728377222292,3.972955410780913e-06,0.023981504,0.02222425362330603
Benjamin Jeannot,2018-2019,Dijon,CF,0.07409409151114574,3.155862098762988e-05,0.023967087,0.03269757913365424
Lois Diony,2020-2021,Angers,CF,0.15145989386642394,1.1194085922966724e-05,0.023874879,0.058448655611902905
Mama Samba Baldé,2021-2022,Troyes,CF,0.13111264171216155,9.359923184084757e-06,0.023775993,0.05163266485012664
Gerson Rodrigues,2021-2022,Troyes,CF,0.018223945538958192,0.00012291578138586337,0.021012345,0.013119735549757032
Lacina Traoré,2017-2018,Amiens,CF,0.03937613144574298,2.6391077403517984e-05,0.018650742,0.01935108825694906
Stéphane Bahoken,2018-2019,Angers,CF,0.15034671489410645,3.19059101878644e-05,0.018248424,0.05620901491275906
Stéphane Bahoken,2017-2018,Strasbourg,CF,0.062488103480097375,1.3802033822345343e-05,0.016125984,0.026209296667945827
