consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
128,Jérémy Gélin,2018-2019,Rennes,DM,0.5542728147123717,0.009895415,0.30995876207755213,110.0,172.0,101.0,127.66666666666667
129,Thiago Maia,2018-2019,Lille,DM,0.5505460244006491,0.009012738,0.33264362556081634,113.0,179.0,95.0,129.0
130,Enzo Le Fée,2021-2022,Lorient,CM,0.5814180944993794,0.036920916,0.14362555716223122,93.5,92.5,202.5,129.5
131,Kévin N'Doram,2017-2018,Monaco,DM,0.4876858022599181,0.029996404,0.2088595338010652,139.0,97.0,156.0,130.66666666666666
132,Xeka,2019-2020,Lille,CM,0.5261336630248321,0.023004334,0.20784610432860262,122.0,115.0,159.0,132.0
133,Sanjin Prcić,2017-2018,Rennes,CM,0.5125673271027265,0.013980746,0.2508537291467869,127.0,152.0,131.0,136.66666666666666
134,Jean-Eudes Aholou,2017-2018,Strasbourg,DM,0.4721643732773316,0.01642948,0.25754648810413616,152.0,135.0,128.0,138.33333333333334
135,Jonas Martin,2018-2019,Strasbourg,DM,0.5293165896579932,0.015070908,0.2196468955547328,120.0,146.0,151.0,139.0
136,Sanjin Prcić,2021-2022,Strasbourg,CM,0.570725885665324,0.0032076645,0.36064912618336614,101.0,229.0,88.0,139.33333333333334
137,Otávio,2019-2020,Bordeaux,DM,0.45911248804646865,0.033006594,0.18524149127750883,156.0,95.0,171.0,140.66666666666666
138,Luis Henrique,2020-2021,Marseille,RM,0.4517924694876964,0.007879856,0.4262968058480467,160.0,189.0,73.0,140.66666666666666
139,Wylan Cyprien,2018-2019,Nice,CM,0.5611383786267793,0.009894658,0.2370628020347717,107.0,173.0,146.0,142.0
140,Habib Maïga,2020-2021,Metz,DM,0.5063714375131559,0.01483289,0.21777803330757112,130.0,147.0,152.0,143.0
141,Imran Louza,2019-2020,Nantes,CM,0.4439042610709649,0.013830974,0.2731309736391909,165.0,154.0,122.0,147.0
142,Yvan Neyou,2020-2021,Saint-Étienne,DM,0.4324324573976087,0.025353972,0.1964892492929032,171.0,109.0,164.0,148.0
