Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
Colin Dagba,2018-2019,Paris S-G,RB,0,0.7270398913480915,25,0.9069767441860465,0.7649042808584983,32,0.8798449612403101
Nuno Mendes,2021-2022,Paris S-G,LB,1,0.684512009622454,26,0.9031007751937985,0.8658762697318252,20,0.9263565891472868
Nordi Mukiele,2017-2018,Montpellier,RB,1,0.6820150839342122,27,0.8992248062015504,0.7970422636471876,28,0.8953488372093024
Leo Dubois,2018-2019,Lyon,RB,0,0.6608062312815882,28,0.8953488372093024,0.7233260995010439,38,0.8565891472868217
Fernando Marçal,2017-2018,Lyon,LB,1,0.6448341833258759,29,0.8914728682170543,0.6753670503296386,44,0.8333333333333334
Emerson Palmieri,2021-2022,Lyon,LB,1,0.6341778658676945,30,0.8875968992248062,0.8047131191562755,27,0.8992248062015504
Adrien Truffert,2021-2022,Rennes,LB,0,0.6337018664795201,31,0.8837209302325582,0.7344088949142882,35,0.8682170542635659
Juan Bernat,2021-2022,Paris S-G,LB,1,0.6249779547696827,32,0.8798449612403101,0.6921764555496783,41,0.8449612403100775
Bouna Sarr,2017-2018,Marseille,RB,1,0.6185801500063809,33,0.875968992248062,0.7264935884702901,37,0.8604651162790697
Anthony Caci,2021-2022,Strasbourg,RB,1,0.6179679125807719,34,0.872093023255814,0.7874380900625699,29,0.8914728682170543
Djibril Sidibé,2018-2019,Monaco,RB,1,0.6008291499629655,35,0.8682170542635659,0.834280703860124,24,0.9108527131782945
Hamari Traoré,2020-2021,Rennes,RB,1,0.6000513094865721,36,0.8643410852713178,0.7820049120596377,30,0.8875968992248062
Youssouf Sabaly,2019-2020,Bordeaux,RB,1,0.5553252865118071,37,0.8604651162790697,0.6837967000079629,42,0.8410852713178295
Ruben Aguilar,2020-2021,Monaco,RB,0,0.5470638103886725,38,0.8565891472868217,0.4768142150031597,58,0.7790697674418605
Anthony Caci,2019-2020,Strasbourg,RB,0,0.5296767309505895,39,0.8527131782945736,0.7332308870415604,36,0.8643410852713178
Zeki Çelik,2021-2022,Lille,RB,1,0.52587769847922,40,0.8488372093023255,0.7493235902250712,34,0.872093023255814
Kenny Tete,2017-2018,Lyon,RB,1,0.5171574800926885,41,0.8449612403100775,0.8270907088211467,25,0.9069767441860465
Jules Koundé,2017-2018,Bordeaux,RB,1,0.5152878983202043,42,0.8410852713178295,0.642144788311453,45,0.8294573643410853
Caio Henrique Oliveira Silva,2020-2021,Monaco,LB,1,0.49979789962551174,43,0.8372093023255814,0.7750997051596694,31,0.8837209302325582
Benjamin Henrichs,2019-2020,Monaco,RB,1,0.48458807196759796,44,0.8333333333333334,0.5964657776840103,50,0.810077519379845
Reinildo Mandava,2020-2021,Lille,LB,1,0.4779862952526522,45,0.8294573643410853,0.4608257713109106,59,0.7751937984496124
Benjamin Henrichs,2018-2019,Monaco,RB,1,0.4660279940545319,46,0.8255813953488372,0.620371553895611,47,0.8217054263565892
Hiroki Sakai,2018-2019,Marseille,RB,0,0.46464927404573764,47,0.8217054263565892,0.4453984541015263,62,0.7635658914728682
Jules Koundé,2018-2019,Bordeaux,RB,1,0.4322511587084744,48,0.8178294573643411,0.44929892466593263,61,0.7674418604651163
Enock Kwateng,2019-2020,Bordeaux,RB,0,0.43080337527893925,49,0.813953488372093,0.44080220390844904,64,0.7558139534883721
Zeki Çelik,2020-2021,Lille,RB,1,0.4265693763728071,50,0.810077519379845,0.6106384489814133,48,0.8178294573643411
Fodé Ballo-Touré,2020-2021,Monaco,LB,0,0.42127363192812795,51,0.8062015503875969,0.4576299176929873,60,0.7713178294573644
Gideon Mensah,2021-2022,Bordeaux,LB,0,0.41964158860865763,52,0.8023255813953488,0.4872566235936492,57,0.7829457364341085
Pol Lirola,2020-2021,Marseille,RB,1,0.4189774673596826,53,0.7984496124031008,0.706588826826907,39,0.8527131782945736
Caio Henrique Oliveira Silva,2021-2022,Monaco,LB,1,0.4004941365860018,54,0.7945736434108527,0.6768515484002449,43,0.8372093023255814
Timothee Pembele,2021-2022,Bordeaux,RB,0,0.37696974022798807,55,0.7906976744186046,0.6279965941915603,46,0.8255813953488372
Patrick Burner,2017-2018,Nice,RB,0,0.3760269466312812,56,0.7868217054263565,0.23998582668082405,97,0.627906976744186
