Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best,p_upward_mlp,rank_mlp,percentile_mlp
François Moubandje,2018-2019,Toulouse,LB,0,0.041660757695942914,209,0.1937984496124031,0.03704060611000894,244,0.05813953488372093
Kelvin Amian,2017-2018,Toulouse,RB,0,0.041495192108299266,210,0.18992248062015504,0.05916111875562237,209,0.1937984496124031
Jordan Amavi,2020-2021,Marseille,LB,0,0.04054136882330789,211,0.18604651162790697,0.04831056080917489,226,0.12790697674418605
Miguel Trauco,2019-2020,Saint-Étienne,LB,0,0.03961274542550179,212,0.1821705426356589,0.06871133396234495,198,0.2364341085271318
Dennis Appiah,2020-2021,Nantes,RB,0,0.03832024090277801,213,0.17829457364341086,0.06326131476238163,207,0.20155038759689922
Jorge,2017-2018,Monaco,LB,0,0.03752164676615362,214,0.1744186046511628,0.04747147870991749,228,0.12015503875968993
Saidy Janko,2017-2018,Saint-Étienne,RB,0,0.03723266619667098,215,0.17054263565891473,0.046768403386161436,229,0.11627906976744186
Yoann Andreu,2017-2018,Angers,LB,0,0.03615057367744688,216,0.16666666666666666,0.025793257985502492,255,0.015503875968992248
François Moubandje,2017-2018,Toulouse,LB,0,0.03546389731176012,217,0.16279069767441862,0.05809259033569214,211,0.18604651162790697
Ismaël Boura,2020-2021,Lens,LB,0,0.035391303945497346,218,0.15891472868217055,0.143535676907523,142,0.45348837209302323
Dennis Appiah,2019-2020,Nantes,RB,0,0.03528130890168732,219,0.15503875968992248,0.07580978598052943,191,0.26356589147286824
Thomas Foket,2020-2021,Reims,RB,0,0.033011333384341604,220,0.1511627906976744,0.02911514941312619,253,0.023255813953488372
Junior Sambia,2018-2019,Montpellier,RB,0,0.032936086143254516,221,0.14728682170542637,0.15146171729797306,136,0.47674418604651164
Abdu Conté,2021-2022,Troyes,LB,0,0.032925321692665606,222,0.1434108527131783,0.054435668465323585,218,0.15891472868217055
Hamza Mendyl,2017-2018,Lille,LB,0,0.03199604402685231,223,0.13953488372093023,0.03663615874456284,245,0.05426356589147287
Pedro Rebocho,2018-2019,Guingamp,LB,0,0.03172681587444227,224,0.13565891472868216,0.08814212450217129,174,0.32945736434108525
Adama Mbengue,2017-2018,Caen,LB,0,0.031660441352566855,225,0.13178294573643412,0.04237375470323886,233,0.10077519379844961
Souleyman Doumbia,2021-2022,Angers,LB,0,0.03149868743125856,226,0.12790697674418605,0.07664383183726038,188,0.2751937984496124
Cheick Traoré,2018-2019,Guingamp,RB,0,0.03130611536768319,227,0.12403100775193798,0.061362997387478746,208,0.19767441860465115
Frederic Guilbert,2018-2019,Caen,RB,0,0.03127584159944324,228,0.12015503875968993,0.06467039759444601,201,0.2248062015503876
Frederic Guilbert,2020-2021,Strasbourg,RB,0,0.030724122269179113,229,0.11627906976744186,0.033770189711546016,248,0.04263565891472868
Kelvin Amian,2018-2019,Toulouse,RB,0,0.030602637997031328,230,0.1124031007751938,0.044295987057645196,231,0.10852713178294573
Souleyman Doumbia,2020-2021,Angers,LB,0,0.03034998666401854,231,0.10852713178294573,0.03704747082927817,243,0.06201550387596899
Matthieu Udol,2019-2020,Metz,LB,0,0.02992162322191731,232,0.10465116279069768,0.022979653390130028,257,0.007751937984496124
Bradley Locko,2021-2022,Reims,LB,0,0.029786593040896526,233,0.10077519379844961,0.1190411145114574,155,0.40310077519379844
Thomas Foket,2018-2019,Reims,RB,0,0.02853930653260113,234,0.09689922480620156,0.03838687146943689,241,0.06976744186046512
Lucas Lima,2017-2018,Nantes,LB,0,0.028124404224251155,235,0.09302325581395349,0.0906066849551871,170,0.3449612403100775
Fabien Centonze,2020-2021,Metz,RB,0,0.027863805939427805,236,0.08914728682170543,0.03847148770939904,240,0.07364341085271318
Aníbal Chalá,2020-2021,Dijon,LB,0,0.026896139491842514,237,0.08527131782945736,0.051600926946850464,223,0.13953488372093023
Patrick Burner,2018-2019,Nice,RB,0,0.02492581520243435,238,0.08139534883720931,0.04810642057336628,227,0.12403100775193798
Arnaud Souquet,2020-2021,Montpellier,RB,0,0.024909708216586127,239,0.07751937984496124,0.052321426167206586,221,0.14728682170542637
Patrick Burner,2020-2021,2 Teams,RB,0,0.024546250458343025,240,0.07364341085271318,0.041510703336132965,234,0.09689922480620156
Matthieu Udol,2021-2022,Metz,LB,0,0.022687996600594167,241,0.06976744186046512,0.06886430983175947,197,0.24031007751937986
Steven Moreira,2018-2019,Toulouse,RB,0,0.02159353745351598,242,0.06589147286821706,0.045453444974218236,230,0.1124031007751938
Ghislain Konan,2018-2019,Reims,LB,0,0.020696116392233992,243,0.06201550387596899,0.030750624500054537,252,0.027131782945736434
Domagoj Bradarić,2019-2020,Lille,LB,0,0.018138430987670717,244,0.05813953488372093,0.06798053584649938,199,0.23255813953488372
Ambroise Oyongo,2018-2019,Montpellier,LB,0,0.017893500816768573,245,0.05426356589147287,0.040846206719626056,236,0.08914728682170543
Frederic Guilbert,2021-2022,Strasbourg,RB,0,0.01694923197640328,246,0.050387596899224806,0.0635233631009891,206,0.2054263565891473
Fabien Centonze,2021-2022,Metz,RB,0,0.014753302141554195,247,0.046511627906976744,0.04124544531866052,235,0.09302325581395349
Jonathan Clauss,2020-2021,Lens,RB,0,0.014027338686038733,248,0.04263565891472868,0.0401797583726791,237,0.08527131782945736
Leo Dubois,2017-2018,Nantes,RB,0,0.013786246351178305,249,0.03875968992248062,0.05542584936579753,217,0.16279069767441862
Houboulang Mendes,2020-2021,Lorient,RB,0,0.013624886133990433,250,0.03488372093023256,0.033909859899594295,247,0.046511627906976744
Jérémy Cordoval,2017-2018,Troyes,RB,0,0.011337255806534764,251,0.031007751937984496,0.035040827590430146,246,0.050387596899224806
Oualid El Hajjam,2017-2018,Amiens,RB,0,0.010955689728316273,252,0.027131782945736434,0.0318119491867393,250,0.03488372093023256
Jordan Ikoko,2018-2019,Guingamp,RB,0,0.010076165113358659,253,0.023255813953488372,0.023044523717221103,256,0.011627906976744186
Faitout Maouassa,2017-2018,Rennes,LB,0,0.008718510430188911,254,0.01937984496124031,0.09374617819288933,167,0.35658914728682173
Thomas Delaine,2020-2021,Metz,LB,0,0.007642377714192567,255,0.015503875968992248,0.03123713133141332,251,0.031007751937984496
Adama Mbengue,2018-2019,Caen,LB,0,0.006785690752744748,256,0.011627906976744186,0.037875529466787156,242,0.06589147286821706
Thomas Delaine,2019-2020,Metz,LB,0,0.005801186878968172,257,0.007751937984496124,0.022325772635526278,258,0.003875968992248062
Jonathan Clauss,2021-2022,Lens,RB,0,0.0015971255622733123,258,0.003875968992248062,0.03370945131557028,249,0.03875968992248062
