Player,Season,Team,Role,Tier_league,p_upward_best,rank_best,percentile_best
Jean-Clair Todibo,2020-2021,Nice,CB,0,0.15109245,66,0.7346938775510204
Giulian Biancone,2021-2022,Troyes,CB,0,0.14485396,67,0.7306122448979592
Gerzino Nyamsi,2020-2021,Rennes,CB,0,0.14484185,68,0.726530612244898
Duje Ćaleta-Car,2019-2020,Marseille,CB,0,0.13538846,69,0.7224489795918367
Félix Eboa Eboa,2018-2019,Guingamp,CB,0,0.13303052,70,0.7183673469387755
Christopher Wooh,2021-2022,Lens,CB,0,0.13227046,71,0.7142857142857143
Chidozie Awaziem,2017-2018,Nantes,CB,0,0.12560654,72,0.710204081632653
Malang Sarr,2017-2018,Nice,CB,0,0.11711191,73,0.7061224489795919
Lucas Perrin,2021-2022,Strasbourg,CB,0,0.11391149,74,0.7020408163265306
Warmed Omari,2021-2022,Rennes,CB,0,0.11267661,75,0.6979591836734694
Abdou Diallo,2021-2022,Paris S-G,CB,0,0.10815257,76,0.6938775510204082
Harold Moukoudi,2019-2020,Saint-Étienne,CB,0,0.105770186,77,0.689795918367347
Nayef Aguerd,2018-2019,Dijon,CB,0,0.10041201,78,0.6857142857142857
Lilian Brassier,2020-2021,2 Teams,CB,0,0.09742287,79,0.6816326530612244
Christophe Hérelle,2018-2019,Nice,CB,0,0.09292081,80,0.6775510204081633
Lilian Brassier,2021-2022,Brest,CB,0,0.09079959,81,0.673469387755102
Duje Ćaleta-Car,2020-2021,Marseille,CB,0,0.08752309,82,0.6693877551020408
Alexander Djiku,2019-2020,Strasbourg,CB,0,0.08621496,83,0.6653061224489796
Júnior Alonso,2017-2018,Lille,CB,0,0.08424895,84,0.6612244897959184
Joris Gnagnon,2017-2018,Rennes,CB,0,0.077875026,85,0.6571428571428571
Stanley N'Soki,2018-2019,Paris S-G,CB,0,0.076394476,86,0.6530612244897959
Flavius Daniliuc,2020-2021,Nice,CB,0,0.0762334,87,0.6489795918367347
Christophe Hérelle,2020-2021,Brest,CB,0,0.07523291,88,0.6448979591836734
Jérémy Gélin,2017-2018,Rennes,CB,0,0.07294918,89,0.6408163265306123
Sinaly Diomande,2020-2021,Lyon,CB,0,0.06641945,90,0.636734693877551
Facundo Medina,2020-2021,Lens,CB,0,0.06602453,91,0.6326530612244898
Wout Faes,2020-2021,Reims,CB,0,0.06568101,92,0.6285714285714286
Agustín Rogel,2019-2020,Toulouse,CB,0,0.06558665,93,0.6244897959183674
Naomichi Ueda,2020-2021,Nîmes,CB,0,0.06503513,94,0.6204081632653061
Malang Sarr,2018-2019,Nice,CB,0,0.06408751,95,0.6163265306122448
Jean-Clair Todibo,2018-2019,Toulouse,CB,0,0.06403333,96,0.6122448979591837
Jonathan Panzo,2020-2021,Dijon,CB,0,0.063133486,97,0.6081632653061224
Edgar Ié,2017-2018,Lille,CB,0,0.062024124,98,0.6040816326530613
Jason Denayer,2018-2019,Lyon,CB,0,0.061882824,99,0.6
Jimmy Giraudon,2017-2018,Troyes,CB,0,0.061682913,100,0.5959183673469388
Senou Coulibaly,2019-2020,Dijon,CB,0,0.058477458,101,0.5918367346938775
Brendan Chardonnet,2020-2021,Brest,CB,0,0.05630882,102,0.5877551020408164
Jean-Kevin Duverne,2019-2020,Brest,CB,0,0.055575088,103,0.5836734693877551
Andy Pelmard,2020-2021,Nice,CB,0,0.052837845,104,0.5795918367346938
Pablo,2019-2020,Bordeaux,CB,0,0.05183037,105,0.5755102040816327
Andrei Girotto,2018-2019,Nantes,CB,0,0.05140061,106,0.5714285714285714
Alexander Djiku,2017-2018,Caen,CB,0,0.05098045,107,0.5673469387755102
Dylan Bronn,2020-2021,Metz,CB,0,0.050673597,108,0.563265306122449
Félix Eboa Eboa,2017-2018,Guingamp,CB,0,0.050020866,109,0.5591836734693878
Björn Engels,2018-2019,Reims,CB,0,0.049657676,110,0.5551020408163265
Fali Candé,2021-2022,Metz,CB,0,0.04962822,111,0.5510204081632653
Christopher Jullien,2018-2019,Toulouse,CB,0,0.049398694,112,0.5469387755102041
Danilo Barbosa,2019-2020,Nice,CB,0,0.048855208,113,0.5428571428571428
Cédric Yamberé,2017-2018,Dijon,CB,0,0.04812656,114,0.5387755102040817
Brendan Chardonnet,2019-2020,Brest,CB,0,0.04783697,115,0.5346938775510204
Jemerson,2017-2018,Monaco,CB,0,0.047304437,116,0.5306122448979592
Pablo,2018-2019,Bordeaux,CB,0,0.047287628,117,0.5265306122448979
Pedro Mendes,2017-2018,Montpellier,CB,0,0.04677163,118,0.5224489795918368
Pape Abou Cissé,2020-2021,Saint-Étienne,CB,0,0.045902357,119,0.5183673469387755
Harold Moukoudi,2021-2022,Saint-Étienne,CB,0,0.04540636,120,0.5142857142857142
Luan Peres Petroni,2021-2022,Marseille,CB,0,0.0447631,121,0.5102040816326531
Christopher Jullien,2017-2018,Toulouse,CB,0,0.043241207,122,0.5061224489795918
Anel Ahmedhodžić,2021-2022,Bordeaux,CB,0,0.04305702,123,0.5020408163265306
Anthony Briançon,2019-2020,Nîmes,CB,0,0.040786535,124,0.49795918367346936
Robson Bambu,2020-2021,Nice,CB,0,0.039799836,125,0.49387755102040815
Andy Pelmard,2019-2020,Nice,CB,0,0.039778948,126,0.4897959183673469
Steven Fortes,2020-2021,Lens,CB,0,0.03898101,127,0.4857142857142857
Maxime Estève,2021-2022,Montpellier,CB,0,0.038769245,128,0.4816326530612245
Jérémy Gélin,2018-2019,Rennes,CB,0,0.03829355,129,0.4775510204081633
Boubakar Kouyaté,2020-2021,Metz,CB,0,0.037287045,130,0.47346938775510206
Leonardo Balerdi,2020-2021,Marseille,CB,0,0.037188508,131,0.46938775510204084
Jérémy Gélin,2019-2020,Rennes,CB,0,0.036471,132,0.46530612244897956
William Saliba,2019-2020,Saint-Étienne,CB,0,0.036347568,133,0.46122448979591835
Andrei Girotto,2019-2020,Nantes,CB,0,0.034650017,134,0.45714285714285713
Andrei Girotto,2017-2018,Nantes,CB,0,0.03453674,135,0.4530612244897959
Abdou Diallo,2020-2021,Paris S-G,CB,0,0.034460966,136,0.4489795918367347
Kouadio-Yves Dabila,2018-2019,Lille,CB,0,0.03427062,137,0.4448979591836735
Malang Sarr,2019-2020,Nice,CB,0,0.033605598,138,0.44081632653061226
