consensus_rank,Player,Season,Team,Role,proba_1_Logistic,proba_1_XGB,proba_1_MLP,rank_proba_1_Logistic,rank_proba_1_XGB,rank_proba_1_MLP,consensus_score
217,Ilan Kebbal,2021-2022,Reims,RW,0.02221070763804345,0.004422076,0.5435478536245459,240.0,247.0,128.0,205.0
218,Téji Savanier,2018-2019,Nîmes,AM,0.010840244216258788,0.014350588,0.49444773417772037,258.0,195.0,162.0,205.0
219,Yassine Benrahou,2019-2020,2 Teams,AM,0.00929492265743365,0.008554625,0.5392940531563402,260.0,227.0,130.0,205.66666666666666
220,Angelo Fulgini,2019-2020,Angers,AM,0.06229768763843112,0.008460458,0.4561559062549021,200.0,229.0,189.0,206.0
221,Gaël Kakuta,2017-2018,Amiens,AM,0.036046226754958256,0.007440977,0.48871746344265327,221.0,235.0,166.0,207.33333333333334
222,Elba Rashani,2021-2022,Clermont Foot,LW,0.14209776550497905,0.012005139,0.28528777489141793,165.0,200.0,257.0,207.33333333333334
223,Opa Nguette,2021-2022,Metz,LW,0.2128352283932204,0.009294246,0.23494629305030168,139.0,219.0,268.0,208.66666666666666
224,Mathias Pereira Lage,2020-2021,Angers,LW,0.08040401985140229,0.0152811855,0.33948563272379806,189.0,194.0,246.0,209.66666666666666
225,Stiven Mendoza,2019-2020,Amiens,LW,0.07997441127768014,0.01612311,0.3220365305040154,190.0,188.0,252.0,210.0
226,Opa Nguette,2020-2021,Metz,LW,0.0748501411595824,0.020218764,0.22842291991497327,192.0,173.0,270.0,211.66666666666666
227,Vagner Gonçalves,2020-2021,Metz,RW,0.08283905080917248,0.008523879,0.3931162489506591,188.0,228.0,223.0,213.0
228,Mehdi Merghem,2018-2019,Guingamp,RW,0.16210413507714197,0.009374072,0.2578895918817747,159.0,218.0,263.0,213.33333333333334
229,Abdoul Camara,2017-2018,Guingamp,LW,0.037170825724693164,0.010286908,0.4084069454073495,218.0,209.0,214.0,213.66666666666666
230,Abdoul Kader Bamba,2019-2020,Nantes,RW,0.022260889765353255,0.0032196245,0.5008649501746748,239.0,251.0,158.0,216.0
231,Sada Thioub,2020-2021,Angers,RW,0.02055750238464746,0.019555336,0.37431361984095546,242.0,176.0,235.0,217.66666666666666
232,Mitchell van Bergen,2021-2022,Reims,RW,0.011323903983283163,0.0029808073,0.5101480493490432,256.0,255.0,148.0,219.66666666666666
233,Opa Nguette,2019-2020,Metz,LW,0.01862872895205439,0.025242947,0.3005209768919155,246.0,161.0,254.0,220.33333333333334
234,Saîf-Eddine Khaoui,2018-2019,2 Teams,AM,0.02484026709059033,0.010238266,0.38876425884159277,233.0,210.0,225.0,222.66666666666666
235,Nemanja Radonjić,2018-2019,Marseille,LW,0.024808607279921766,0.0030002238,0.46603709125677456,234.0,254.0,180.0,222.66666666666666
236,Naïm Sliti,2018-2019,Dijon,LW,0.012443656250707277,0.0015033932,0.5068313116439347,253.0,266.0,151.0,223.33333333333334
237,Yassine El Ghanassy,2017-2018,Nantes,LW,0.028605046036436606,0.0056620957,0.4244698011419322,229.0,240.0,208.0,225.66666666666666
238,Quentin Boisgard,2021-2022,Lorient,AM,0.019954856052137388,0.009080299,0.41102553688853355,244.0,221.0,212.0,225.66666666666666
239,Moussa Doumbia,2019-2020,Reims,LW,0.013068107970470855,0.0019871027,0.4906724048641402,252.0,262.0,164.0,226.0
240,Harrison Manzala,2017-2018,Amiens,RW,0.05565817583030261,0.0032626172,0.39537073099713366,206.0,250.0,222.0,226.0
241,Arber Zeneli,2020-2021,Reims,LW,0.011167192881908617,0.003211182,0.4812407075992093,257.0,252.0,171.0,226.66666666666666
242,Nacer Chadli,2018-2019,Monaco,LW,0.19609179739849464,0.0019159147,0.21056619939309812,147.0,263.0,272.0,227.33333333333334
243,Moussa Doumbia,2020-2021,Reims,LW,0.005826467695236834,0.0010524647,0.5098139714243785,266.0,272.0,150.0,229.33333333333334
244,Wahbi Khazri,2019-2020,Saint-Étienne,LW,0.032360634597333744,0.008292751,0.3795153572251492,225.0,232.0,233.0,230.0
245,Stephy Mavididi,2020-2021,Montpellier,LW,0.018125965661706548,0.004695452,0.43990328496948544,248.0,245.0,198.0,230.33333333333334
246,Mounir Chouiar,2020-2021,Dijon,LW,0.07416089862777613,0.0027976711,0.3411527022973865,193.0,258.0,245.0,232.0
247,Hwang Ui-jo,2021-2022,Bordeaux,AM,0.026299717507071232,0.01106082,0.2643925531670633,231.0,205.0,262.0,232.66666666666666
248,Téji Savanier,2020-2021,Montpellier,AM,0.0016174155732613378,0.009776663,0.4075160286046801,273.0,212.0,215.0,233.33333333333334
249,Saman Ghoddos,2018-2019,Amiens,AM,0.013765948473043958,0.010199273,0.3578824712733957,251.0,211.0,240.0,234.0
250,Gaël Kakuta,2019-2020,Amiens,AM,0.021950538386823128,0.010680998,0.2858796029301085,241.0,206.0,256.0,234.33333333333334
251,Opa Nguette,2017-2018,Metz,LW,0.011440866093604975,0.017257223,0.2478784028623352,255.0,184.0,267.0,235.33333333333334
252,Saîf-Eddine Khaoui,2017-2018,Troyes,AM,0.008643013803042634,0.0059156716,0.42457897633405317,261.0,238.0,207.0,235.33333333333334
253,Téji Savanier,2019-2020,Montpellier,AM,0.0065187777278201825,0.01528473,0.33034082271408516,264.0,193.0,250.0,235.66666666666666
254,Kévin Monnet-Paquet,2017-2018,Saint-Étienne,LW,0.02860419869700311,0.005170806,0.35786614127673233,230.0,243.0,241.0,238.0
255,Sofiane Boufal,2020-2021,Angers,AM,0.036835827869396355,0.008956348,0.2231480998707398,220.0,224.0,271.0,238.33333333333334
256,Marcus Coco,2018-2019,Guingamp,RW,0.056612786340842026,0.0032771027,0.2528679884016288,204.0,249.0,264.0,239.0
257,Florent Mollet,2017-2018,Metz,AM,0.023159587407394995,0.0018413021,0.40433187054493663,237.0,264.0,218.0,239.66666666666666
258,Saîf-Eddine Khaoui,2021-2022,Clermont Foot,AM,0.007833562826199816,0.0014786947,0.4398061180839407,263.0,267.0,199.0,243.0
259,Nicolas Benezet,2018-2019,Guingamp,LW,0.005722279201764247,0.0014035933,0.4412153533340724,267.0,269.0,197.0,244.33333333333334
260,Moussa Doumbia,2018-2019,Reims,LW,0.005218985817852345,0.0032788585,0.404765204031283,268.0,248.0,217.0,244.33333333333334
261,Juan Ferney Otero,2018-2019,Amiens,RW,0.036944683219914815,0.0020109056,0.28924621776191,219.0,261.0,255.0,245.0
