Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Role,Tier_league
Jérémy Gélin,2017-2018,20,Rennes,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.2,0,,0,0,45.3,54.1,83.7,0.5,4.8,0.3,0,5.4,1010.4,369.5,11.4,12.6,90.7,24.2,26.6,91.1,9,13.5,66.6,34.6,154.6,100.6,0.5,0.4,0,0.2,0.1,40.9,0.3,0.1,0.1,1.2,1.1,55.6,0.1,0,1.3,0.6,1.4,0.7,0.8,1.3,0.9,0.5,0.4,1.4,2.9,3.6,0.1,52.4,1.6,1.5,0.1,1.3,0.1,0,0,60,40,62.4,4.6,22.9,38,1.8,0.2,62.4,DM,1
Jérémy Gélin,2018-2019,21,Rennes,0,0,0,0,0,0,0.1,0.1,0,0.1,0.1,0.1,-0.1,0,0.12,0.5,0,0,0.1,28.6,48.7,56,86.9,0.4,4.2,0.3,0,5.6,1029.4,348,14.2,15.8,89.8,25.7,27.5,93.6,8,11.3,70.2,37.7,165.8,96.7,0.4,0.1,0,0.4,0.1,44.3,0.1,0.1,0.1,1.3,1.1,37.1,0.2,0.1,1.2,0.6,2.1,1.1,1.3,1.1,1,0.4,0.6,1.3,3.5,2,0,54.6,1.3,1.3,0,0.5,0,0,0,85.7,14.3,64.1,3.1,21.1,40.4,3,0.4,64.1,DM,1
Jérémy Gélin,2019-2020,22,Rennes,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.15,0.3,0,,0,0,46.9,53.4,88,0.2,2.9,0.1,0,3.7,1008.6,402.1,13,14.6,88.7,25.8,27.5,94,7.8,10.3,75.5,42.5,170,72.2,0,0.2,0.1,0.1,0,42,0.1,0,0,0.6,0.6,54.1,0.1,0,0.7,0.9,1.4,0.5,0.8,0.5,1.4,0.7,0.7,1.5,2.8,3.2,0.1,52,1.4,1.4,0,0.1,0.1,0,0,0,100,62.4,8.4,32,28.5,2,0.8,62.4,DM,1
Jakob Johansson,2018-2019,28,Rennes,0.1,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,0.1,-0.1,0.11,0.6,0.2,0.5,0.3,40,43.1,49.7,86.8,0.5,4,0.5,0.1,4.8,737.2,178,19.1,21.6,88.3,19.2,21.2,90.5,3.7,4.9,74.4,28.8,147.1,73.1,1.3,0.4,0,0.8,0.5,35.4,0.4,0.1,0.1,1.3,1.1,70.4,0,0,0.8,0.9,2.1,1.1,1.3,1.3,0.9,0.4,0.5,0.4,2.5,2.1,0.1,48.7,0.9,0.9,0,0.5,0.1,0,0,50,50,59,3.8,16.9,38.2,4,0.3,59,DM,1
James Lea Siliki,2017-2018,21,Rennes,0.1,0.1,0.2,0.1,0,0,0.1,0.1,0.1,0.3,0.1,0.3,0,-0.1,0.08,1.7,0.09,0.33,0.4,26.5,27.1,37.6,72.2,1,4,0.6,0.3,4.4,497.1,130.5,11.9,14.5,82.3,9.7,12.1,80.3,3.9,7.1,54.2,26.4,165.3,87,2.3,1.7,0.3,2,1.1,32.8,3.3,0.3,0.1,3.2,1.8,50,0.3,0,1.9,2.4,1.5,1,0.3,1.7,1,0,1,0.9,2.4,0.7,0,34.9,2.1,0.8,0.3,0.7,2.9,0.8,0,56.9,43.1,48.5,0.7,5.5,30,14.1,1.2,48.5,CM,1
James Lea Siliki,2018-2019,22,Rennes,0,0.2,0.2,0,0,0,0.1,0.1,0.3,0.4,0.1,0.4,-0.1,0,0.07,1.5,0,0,0.3,19,22.4,32.9,67.9,1.3,2.9,0.8,0.3,4.3,388.6,129.1,11.4,13.5,84.2,7.5,10.3,73.4,2.7,6.6,41.1,28.8,180.7,101.1,2.7,2.7,0.7,2.4,0.9,31.7,5.5,0.4,0.3,3.2,1.9,30,0.1,0,1.8,1.8,1.9,1.3,0.9,1.7,1,0.1,1,0.7,2.7,0.5,0.1,31.4,1.3,0.4,0.1,0.7,4.3,0.1,0,36.4,63.6,44.7,1,7.3,21.4,17.3,2.4,44.7,CM,1
James Lea Siliki,2019-2020,23,Rennes,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,-0.1,0.06,1.3,0,0,0.3,20,25.3,33.8,74.8,0.7,2.2,0.6,0.2,2.7,405,88.4,13,15.1,86.2,9.3,11.9,77.6,1.9,4.5,42.6,27.3,160.9,77.6,1.9,1.7,0.3,1.6,1.2,28.9,2.5,0.2,0.2,2.3,1.7,52.6,0.3,0,2.8,2.8,2.3,1.3,1.3,1.1,1.3,0.3,0.9,1,3.3,1,0,32.6,1.1,1.1,0.3,0.3,1.8,0,0,63.2,36.8,44.9,2.2,10.2,26.4,8.9,1,44.9,CM,1
Jan Repas,2017-2018,20,Caen,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,-0.1,-0.1,-0.1,0.03,1.7,0,0,0.4,23.5,16.6,23.6,70,1,1.9,0.5,0,2.5,261.5,63.5,8.3,10.7,77.6,6,7.9,75.9,1.2,2.1,57.1,22,195.7,59.2,2.1,1.8,0.3,3.1,2.9,24.7,9.1,0,0,2.2,26.7,0.1,0,1.9,1.9,1.4,1.1,0.4,1.4,1,0,1,0.7,2.1,0.3,0,22.3,1.3,0,0,0.3,1.6,0,0,40.9,59.1,35.4,0.2,3.4,16.7,16.1,1.7,35.4,CM,0
Javairô Dilrosun,2021-2022,23,Bordeaux,0.1,0.3,0.4,0.1,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0,0,0.1,0.07,2.1,0.05,0.2,0.5,25,23.1,31.3,73.9,1.6,2.2,0.9,0.2,3.9,365.8,113.1,12,14.3,83.7,7.2,9.7,74.7,2.4,4.2,57.5,28.5,226.5,109.2,3.7,2.3,1,2,1.2,29.1,5.6,0.6,0.3,4.3,30,0.2,0,0.7,1.6,0.7,0.2,0.4,0.9,0.7,0.1,0.7,0.6,1.2,0.3,0,27.7,3.4,1.1,0.1,0.2,3.6,1.9,0.1,64.8,35.2,41.5,0.3,3.3,19.4,19.5,2.2,41.5,LW,0
Javier Pastore,2017-2018,28,Paris S-G,0.3,0.3,0.6,0.3,0,0,0.1,0.1,0.3,0.4,0.2,0.4,0.1,0.1,0.1,0.08,1.6,0.17,0.4,0.7,41.7,55.3,68,81.2,1.7,5.7,2.2,0.2,6.4,757.7,214.5,32,36.3,88.1,15.9,19,83.8,2.9,5.1,57.1,51.1,275.9,157.7,4.3,3.1,1.3,2.1,1.7,66.5,8.8,0.7,0.6,4,33.3,0.1,0,0.9,0.9,2.2,1.4,0.3,1.2,0.9,0,0.9,0.7,2.9,0.9,0.1,65.5,2,1.2,1.6,0.3,0.7,0.5,0.1,64.3,35.7,79.3,1,6.9,46.4,26.9,4.1,79.3,AM,2
