Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Penalty_kicks_missed,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Offsides,Penalty_kicks_won,Penalty_kicks_conceded,Own_goals,Recov_loose_balls,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Tkld_During_Take_On%,Role,Tier_league
Aaron Leya Iseka,2020-2021,22,Metz,0.4,0,0.4,0.2,0.2,0.3,0.1,0.4,0.2,0.1,0.5,0,0.3,-0.1,0,-0.1,0.14,1.5,0.12,0.33,0.5,35.3,12.6,17.1,73.4,1.1,1.1,0.1,0,1.1,156.5,24.7,7.9,9.5,84,2.6,4.1,63,0.5,0.8,66.7,15.8,82.4,32.2,1.2,1.1,0.9,3.1,1.7,21.9,4.6,0.1,0,1.9,26.2,0.9,2.2,13.6,10.6,2.9,25.9,41.4,0.4,0,2.3,1.1,0.5,0.4,0,0.4,0.4,0.2,0.2,0,0.5,0.5,0,0.3,0,0,0,1.9,16.6,0.4,0.1,0.1,0.1,0.2,0,57.9,42.1,CF,0
Aaron Leya Iseka,2018-2019,20,Toulouse,0.2,0,0.2,0.2,0,0,0,0.2,0.2,0,0.3,0,0.3,0,0,0,0.14,1.7,0.14,0.36,0.7,39.3,13,16.5,78.5,0.6,0.9,0.3,0,1.2,155.3,27.8,8.9,9.7,92.3,2.7,3.9,71,0.2,0.6,44.4,15.2,62.9,22.6,0.9,0.9,0.6,2.9,1.6,19.9,5.9,0.1,0.1,1.6,25.1,1.1,1.9,11.2,12.2,3.1,25.1,39.7,0.1,0.1,1.4,0.9,0.4,0.2,0.1,0.2,0.3,0.2,0.1,0.1,0.4,0.6,0,0.4,0,0,0,1.6,15.6,0.8,0,0.1,0,0.1,0,35,60,CF,0
Aaron Leya Iseka,2019-2020,21,Toulouse,0.2,0,0.2,0.1,0.1,0.2,0.1,0.6,0.4,0,0.6,0,0.4,-0.3,-0.3,0,0.15,2.8,0.04,0.11,1,37.5,15.4,20.6,74.7,0.5,1.2,0.2,0,1.4,176.6,23.9,10.1,12.7,79.1,3.4,4.7,70.7,0.3,0.7,50,19.7,108.4,44.4,1.3,0.9,1,2.8,2.7,25.1,5.9,0.2,0,2.4,31.6,0.7,2.2,15.8,13.9,4.3,31.4,41.5,0.2,0,2.3,1.2,0.2,0,0,0.3,0.6,0,0.6,0.1,0.3,0.8,0,0.7,0.1,0,0,1.7,18.4,2.2,0,0.1,0.1,0.2,0,56.3,43.8,CF,0
Abdul Majeed Waris,2018-2019,26,Nantes,0.2,0.1,0.3,0.2,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0,0,0.13,1.6,0.1,0.31,0.5,33.3,17.3,24.3,71,1,1,0.8,0.1,2.2,226.7,58.5,10.4,12.9,80.7,4.4,6.1,72.5,1,2.2,44.4,27.1,163.2,76.1,2.8,1.9,1.4,3.1,2.4,28.7,9.6,0.4,0.2,3.1,2,35.8,0.2,3.1,13.7,19.5,3.6,35.8,27.1,0.1,0,0.7,2.9,0.9,0.5,0.3,0.8,0.4,0,0.4,0.3,1.2,0.3,0,0.4,0.1,0,0,4.3,23.1,1.2,0,0.2,0,1.6,0.6,39.7,60.3,SS,1
Adama Niane,2017-2018,24,Troyes,0.3,0.1,0.4,0.2,0.1,0.1,0,0.5,0.4,0.1,0.5,0,0.5,-0.1,-0.2,0,0.14,3,0.08,0.25,1,33.8,15.8,23.8,66.5,0.7,0.7,0.2,0.1,1.1,200.2,27.9,10,13.3,75,3.8,5.9,64.1,0.6,1,56,18.9,89.5,33.9,1,0.8,0.4,3.6,2.1,25.5,5.5,0.1,0,1.8,36.1,0.7,3.2,17.7,15.6,4.3,36,28.1,0.2,0,1.5,1.2,0.9,0.5,0.2,0.8,0.5,0.1,0.4,0.4,1.3,0.5,0,1.3,0.1,0,0,3.2,21.3,2.5,0,0,0.1,0.5,0,43.3,56.7,CF,0
Ado Onaiwu,2022-2023,26,Toulouse,0.2,0.1,0.2,0.2,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0,0.09,1.6,0.11,0.5,0.3,21.1,21,28,74.8,0.7,1.6,0.8,0.1,2.5,291.2,59.7,12.1,15.6,77.5,6.5,8.3,78,0.8,1.2,66.7,27.8,150.6,51.5,0.9,0.9,0.5,2,2.2,29.5,7.2,0.1,0.1,1.7,36.4,0.6,3.5,16.8,16.5,2.9,36.4,49.3,0,0,1.2,1.2,0.9,0.5,0.4,0.7,0.4,0.1,0.3,0.2,1.1,0.4,0,0.2,0,0,0,2.9,27.3,0.6,0.1,0.2,0.2,0.4,0,40,53.3,CF,0
Adrian Grbić,2020-2021,23,Lorient,0.4,0,0.4,0.1,0.3,0.3,0,0.6,0.4,0,0.7,0,0.4,-0.2,-0.3,0,0.13,2.9,0.03,0.09,1,35.5,11.8,19.8,59.7,0.4,0.8,0.2,0,0.9,136.6,22.1,7.2,10.7,67.5,2.6,3.9,66.7,0.2,1,18.2,16.9,70.2,33.3,1.2,0.7,0.6,2.3,0.9,20,5,0.4,0,1.3,30,0.7,2.6,13.5,14.4,3.7,29.7,40.6,0.2,0,2.2,1.7,0.6,0.4,0.1,0.6,0.6,0,0.6,0.5,1,0.7,0,0.1,0.2,0,0,3,17.9,1.8,0,0,0.1,0.5,0,18.2,81.8,CF,0
Adrien Hunou,2019-2020,25,Rennes,0.6,0.1,0.7,0.5,0.1,0.1,0,0.6,0.5,0.2,0.8,0.1,0.7,0,0,-0.1,0.29,2,0.26,0.5,1,51.9,17.5,23.4,74.6,1,0.8,0.7,0.2,2,224.9,42.5,10.7,13,82.3,5.1,6.2,81,0.4,1,46.2,23,110.5,43.4,1.5,1,0.4,3.1,1.6,26.3,6.1,0.4,0.2,2.6,36.5,0.4,4.2,17.1,15.7,3.4,36.4,32.1,0.1,0,1.3,2.5,1.6,1.3,0.3,1.3,1.2,0.1,1.1,0.4,1.9,0.4,0,0.3,0.1,0,0,3.6,22.8,0.5,0,0,0,0.7,0,35.7,64.3,CF,0
Adrien Hunou,2018-2019,24,Rennes,0.5,0.1,0.6,0.5,0,0,0,0.6,0.5,0,0.6,0,0.6,-0.1,0,0,0.29,1.9,0.27,0.5,1,53.8,16.9,22.4,75.6,0.7,0.5,0.3,0,1.2,192.9,27.6,12.3,14.9,82.9,3.3,4.4,75,0.1,0.5,28.6,17.1,75.5,33.5,1.3,0.7,0.5,2,0.4,22.1,5.7,0.1,0.1,1.5,31.9,0.8,2.7,14.3,15,3.3,31.9,31.4,0.1,0,1,1.7,0.8,0.5,0.1,0.5,1,0,1,0.4,1.2,0.6,0,0.9,0,0,0,2.8,20.3,2,0.1,0,0.1,0.4,0,20,80,CF,0
Adrien Hunou,2017-2018,23,Rennes,0.3,0.1,0.4,0.3,0,0,0,0.2,0.2,0,0.3,0,0.3,0.1,0.1,0,0.16,1.5,0.2,0.5,0.6,40,25.2,32.1,78.5,0.7,1.3,0.2,0,2,327.9,63.7,16.3,19.2,84.9,6.5,7.7,84.8,0.7,1.7,39.3,22.8,108.1,41,1.1,0.9,0.3,2.3,1.2,31,7.7,0.2,0.1,2.1,42.2,0.4,5.1,18.9,18.8,2.5,42.2,26.2,0.1,0,1.2,1.9,1.7,0.9,0.7,1.9,1.4,0.1,1.3,0.6,2.2,0.5,0.1,1.2,0.1,0,0,4.8,30.1,1.8,0.1,0.1,0.2,0.6,0.1,40,60,CF,0
Adrien Hunou,2017-2018,23,Rennes,0.3,0.1,0.4,0.3,0,0,0,0.2,0.2,0,0.3,0,0.3,0.1,0,0.16,1.5,0.2,0.5,0.6,40,25.2,32.1,78.5,0.7,1.3,0.2,0,2,327.9,63.7,16.3,19.2,84.9,6.5,7.7,84.8,0.7,1.7,39.3,22.8,108.1,41,1.1,0.9,0.3,2.3,1.2,31,7.7,0.2,0.1,2.1,1.4,42.2,0.4,5.1,18.9,18.8,2.5,42.2,26.2,0.1,0,1.2,1.9,1.7,0.9,0.7,1.9,1.4,0.1,1.3,0.6,2.2,0.5,0.1,1.2,0.1,0,0,4.8,30.1,1.8,0.1,0.1,0.2,0.6,0.1,40,60,CF,0
Adrien Hunou,2018-2019,24,Rennes,0.5,0.1,0.6,0.5,0,0,0,0.6,0.5,0,0.6,0,0.6,-0.1,0,0.29,1.9,0.27,0.5,1,53.8,16.9,22.4,75.6,0.7,0.5,0.3,0,1.2,192.9,27.6,12.3,14.9,82.9,3.3,4.4,75,0.1,0.5,28.6,17.1,75.5,33.5,1.3,0.7,0.5,2,0.4,22.1,5.7,0.1,0.1,1.5,1,31.9,0.8,2.7,14.3,15,3.3,31.9,31.4,0.1,0,1,1.7,0.8,0.5,0.1,0.5,1,0,1,0.4,1.2,0.6,0,0.9,0,0,0,2.8,20.3,2,0.1,0,0.1,0.4,0,20,80,CF,0
Adrien Hunou,2019-2020,25,Rennes,0.6,0.1,0.7,0.5,0.1,0.1,0,0.6,0.5,0.2,0.8,0.1,0.7,0,-0.1,0.29,2,0.26,0.5,1,51.9,17.5,23.4,74.6,1,0.8,0.7,0.2,2,224.9,42.5,10.7,13,82.3,5.1,6.2,81,0.4,1,46.2,23,110.5,43.4,1.5,1,0.4,3.1,1.6,26.3,6.1,0.4,0.2,2.6,1.7,36.5,0.4,4.2,17.1,15.7,3.4,36.4,32.1,0.1,0,1.3,2.5,1.6,1.3,0.3,1.3,1.2,0.1,1.1,0.4,1.9,0.4,0,0.3,0.1,0,0,3.6,22.8,0.5,0,0,0,0.7,0,35.7,64.3,CF,0
Alassane Pléa,2017-2018,24,Nice,0.5,0.1,0.6,0.4,0,0.1,0,0.4,0.4,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.12,3.1,0.14,0.36,1.2,39.6,24.2,31,78,0.9,2.1,0.8,0,3.5,354.2,79.8,14.1,16.6,85.4,7,8.7,80.9,1.5,2.3,66.7,24.9,153.4,79.9,2.8,1.7,1.2,1.9,1.8,34.8,8.7,0.6,0.3,3.5,40.7,0.8,3.1,19.3,18.7,4.4,40.6,27.6,0.2,0,1.3,1.8,0.4,0.3,0.1,0.8,0.4,0.1,0.3,0.2,0.7,0.6,0,0.4,0,0,0,2.5,29.4,1.4,0,0.3,0.4,0.4,0,66.7,33.3,CF,1
Alexandre Mendy,2017-2018,23,Bordeaux,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0.1,0.5,0.1,0.5,0,0,-0.1,0.14,3.3,0.14,0.5,0.9,27.6,14.4,20.2,71.3,0.8,0.8,0.2,0,1.5,198.9,24.7,7.5,10.3,72.5,5.1,6.2,81.8,0.5,0.8,57.1,17.8,61.9,17.8,1,0,0.6,2.6,1,22.3,7.2,0.2,0,1.7,28.8,0.2,1.5,12.8,14.7,5.9,28.8,40.5,0.2,0,1.9,0.8,0.5,0.5,0.1,0.6,0.6,0.1,0.5,0.1,0.6,0.5,0,1.6,0,0,0,3.2,18.3,1.8,0,0.1,0.1,0.2,0,66.7,33.3,CF,0
Alexandre Mendy,2018-2019,24,Guingamp,0.4,0,0.4,0.4,0,0,0,0.3,0.3,0.1,0.5,0,0.5,0,0,-0.1,0.13,2.6,0.14,0.43,0.8,31.8,9.9,14,70.6,0.8,0.5,0.2,0.1,0.8,136.6,16.1,6,7.9,76.1,2.9,3.6,80.6,0.4,0.7,50,11,50.9,18,0.6,0.8,0.2,2.9,1.4,16.7,4.3,0,0,1.6,23.5,0.7,1.4,11,11.3,4.3,23.5,36.2,0.2,0,1.6,1.1,0.6,0.4,0.4,0.6,0.4,0,0.4,0.1,0.7,0.7,0,1.2,0,0,0,1.6,11.3,2.6,0.1,0,0.1,0.4,0,44.4,55.6,CF,0
Alexandre Mendy,2019-2020,25,Brest,0.3,0.1,0.4,0.3,0,0.1,0.1,0.4,0.3,0,0.4,0,0.4,-0.1,0,0.1,0.11,2.8,0.11,0.33,0.9,32.1,11.5,16.3,70.6,0.6,0.4,0.3,0.1,1,160.9,18.2,7.2,9.1,79.1,3.5,5.1,68.6,0.5,0.8,62.5,12.9,49.6,20.3,0.9,0.3,0.5,2,1,18.1,4.5,0.3,0.2,1.6,25,1,1.7,11.8,11.8,4.8,24.9,48.7,0.3,0,2.2,1,0.5,0.1,0.1,0.3,0.4,0.1,0.3,0,0.5,1,0,0.3,0,0,0,2.4,15.4,0.7,0.1,0.1,0.1,0.3,0,72.7,27.3,CF,0
Amine Gouiri,2020-2021,20,Nice,0.4,0.2,0.6,0.3,0.1,0.1,0,0.5,0.4,0.2,0.7,0.2,0.6,-0.1,0,0.15,2.5,0.11,0.28,1,38.2,28.5,38,75,1.7,1,1.2,0.1,2.6,423.2,71.5,16.3,19.2,84.5,8.8,11.3,77.9,1.9,3.9,50,29.9,182,91.1,2.9,2.4,1.4,2.7,1.8,36.5,8.8,0.5,0.2,4.4,2.7,49.8,1,4.4,19.2,26.8,5.4,49.6,40.8,0.2,0,1.5,1.2,1,0.6,0.3,1,0.7,0.2,0.5,0.6,1.6,0.8,0,0.3,0,0,0,3.4,33.2,4.7,0.9,0.2,0.3,2.9,2.1,50.5,49.5,CF,1
Amine Gouiri,2021-2022,21,Nice,0.3,0.3,0.6,0.2,0.1,0.2,0.1,0.4,0.3,0.2,0.6,0.2,0.4,-0.1,0.1,0.11,2.3,0.1,0.21,1.1,46.5,25.7,34.1,75.3,1.6,1.8,1.1,0.3,3.4,390.5,90,14.7,17.2,85.5,7.6,9.5,80,2.3,4.2,54.3,31.1,192.4,91.7,3,2.7,1.3,2.2,1.8,34.2,6.5,0.6,0.5,4.3,2.5,45.6,0.6,3.2,19.4,23.6,4.4,45.5,33.3,0.1,0,1,1,0.7,0.4,0.3,0.7,0.7,0.2,0.6,0.4,1.1,0.6,0,0.2,0,0,0,2.9,30.4,3.6,0.8,0.2,0.2,3.2,2.1,51.2,47.9,CF,1
Andreas Cornelius,2018-2019,25,Bordeaux,0.3,0.1,0.5,0.3,0,0,0,0.3,0.3,0.1,0.3,0.1,0.3,0.1,0.1,0.1,0.11,2.5,0.14,0.33,1,40.9,17.6,27.5,64,1,1.1,0.2,0,1.1,220.5,36.7,10.8,15.5,69.9,4,6.5,61.4,0.9,1.2,72.7,20.2,80.6,24.3,0.7,0.8,0.2,3.3,2.3,30.2,6.6,0.5,0.5,2.5,38.9,2.3,4.1,17.6,17.5,4.8,38.9,59.7,0.5,0,4.4,1.9,0.5,0.1,0.1,0.3,0.5,0.1,0.3,0.1,0.6,2.4,0,0.9,0,0,0,2.5,25.9,1.4,0,0.1,0.2,0.5,0,62.5,37.5,CF,0
Andy Delort,2020-2021,28,Montpellier,0.5,0.3,0.9,0.5,0,0,0,0.5,0.4,0.2,0.7,0.2,0.7,0.1,0.1,0.1,0.14,3.3,0.17,0.43,1.3,38.9,19.2,32.8,58.6,2,1.5,1.4,0.9,2.5,310.6,83.7,10.2,14.5,69.8,5.9,10.8,54.7,2.1,3.7,56.3,22.8,108.3,45.4,1.8,1,0.9,2.7,0.8,33.5,7.6,0.5,0.4,3.4,44.7,1.3,3,18.6,23.8,5.2,44.6,55.1,0.1,0,2,1.5,0.4,0.3,0.3,0.4,0.4,0,0.4,0.1,0.6,1.2,0,0.7,0,0,0,2.1,30,2.8,0.2,0.1,0.4,3.8,0.3,50,50,CF,0
Andy Delort,2018-2019,26,Montpellier,0.4,0.2,0.6,0.3,0.1,0.1,0,0.4,0.4,0.2,0.7,0.2,0.6,0,-0.1,0,0.11,3.4,0.09,0.33,1,28.4,20.7,35.1,58.9,1.6,1.9,1.3,0.5,2.9,331.7,90.6,11.3,15.5,73,5.7,10.3,55.7,2.4,4.8,49.7,24.1,128.3,55.4,2.3,1,1,3.6,1.8,37,10,0.3,0.3,3.3,47.9,0.3,2.1,20,26.3,4.6,47.8,44.4,0.1,0,2.7,1.5,1,0.6,0.2,0.8,0.8,0.2,0.6,0.1,1.1,0.2,0,0.7,0,0,0,2.7,32.3,2.6,0.3,0.2,0.6,4,0.3,57.4,42.6,CF,0
Andy Delort,2019-2020,27,Montpellier,0.4,0.1,0.5,0.4,0,0.1,0.1,0.5,0.4,0.2,0.6,0.2,0.6,-0.1,0,-0.1,0.12,3.2,0.11,0.32,1.1,34.1,17.8,31.1,57.2,1.5,1.3,1.1,0.6,2.7,295.3,64.3,9.6,13.8,69.6,5.4,9.5,56.8,2.2,4.6,47,21.8,111.6,48.1,2,1.1,1.1,3.2,1,33.4,9.7,0.4,0.1,3.4,43.5,0.6,2.5,16.7,24.8,4.7,43.5,51.4,0.2,0,2.7,1.5,1.1,0.7,0.3,0.8,0.8,0.2,0.6,0.1,1.2,0.4,0,0.8,0,0,0,2.4,28.3,2.8,0.2,0.2,0.5,3.7,0.3,43.1,56.9,CF,0
Andy Delort,2017-2018,25,Toulouse,0.2,0.2,0.4,0.2,0,0.1,0,0.3,0.3,0.2,0.5,0.2,0.5,-0.2,-0.1,0,0.11,2.6,0.06,0.22,0.7,26.5,18.2,32.4,56.1,1.7,1.5,0.9,0.4,2.4,266.6,71,10.5,15.7,66.4,5.2,9.1,57,1.4,4.3,32.1,25.4,98.1,36.9,1.1,0.9,0.6,3.2,1.9,32.8,9.3,0.3,0.2,3.2,43,0.7,2.3,16.6,24.5,4,42.9,49.5,0.2,0,2.7,1.2,0.8,0.5,0.2,0.6,0.4,0,0.4,0.5,1.2,0.8,0,1.1,0,0.1,0,2.3,28.8,3.6,1.1,0,0.2,4.3,0.7,46.3,53.7,CF,0
Arkadiusz Milik,2020-2021,26,Marseille,0.7,0.1,0.7,0.4,0.2,0.2,0,0.5,0.4,0.1,0.6,0,0.4,0.1,0.1,0,0.12,3.2,0.14,0.33,1.3,41.9,16.8,22.5,74.8,0.6,0.9,0.3,0.1,1.8,224.9,26.3,9.5,12,79.6,5.1,6.3,80.2,0.6,1.2,50,18.7,71.5,31.6,1.1,0.6,0.6,2.4,0.9,25.5,5.5,0.3,0.2,2.1,33,0.8,1.5,15.4,16.2,4.6,32.8,46.4,0.1,0,1.1,1.5,1,0.7,0.1,0.7,0.4,0.1,0.3,0.1,1.2,0.7,0,0.4,0,0,0,1.5,19.8,2.7,0.2,0,0.1,0.5,0.1,50,50,CF,1
Arkadiusz Milik,2021-2022,27,Marseille,0.4,0.1,0.6,0.4,0.1,0.1,0,0.5,0.5,0.1,0.6,0.1,0.6,-0.1,-0.1,0,0.14,3.4,0.11,0.32,1.2,35.8,19,24,79.3,1,0.8,0.5,0,1.6,247.9,26.9,10.8,12.8,84.2,4.6,5.6,83,0.8,1.2,68.4,19.6,79,28.5,1,0.5,0.8,2.3,0.9,25.5,7.1,0.3,0.3,1.5,34.1,0.7,1.3,14.8,18,5.7,34,43.8,0.1,0,1.2,0.5,0.6,0.1,0.3,0.9,0.6,0.1,0.5,0.2,0.8,0.6,0.1,0.5,0,0,0,1.4,21.8,2.1,0,0.1,0.1,0.3,0,22.2,77.8,CF,1
Arnaud Kalimuendo,2021-2022,19,2 Teams,0.5,0,0.5,0.4,0.1,0.1,0,0.4,0.3,0.1,0.4,0.1,0.4,0.1,0.1,-0.1,0.12,2.5,0.17,0.34,1.2,48.3,17.1,20.4,83.8,0.9,0.5,0.7,0.1,1.3,226.8,25.3,9.8,11.1,88.3,5.4,6.2,87.2,0.5,0.7,64.7,23.5,138.9,57,2,1.5,0.6,3.3,2.6,25.5,8,0.3,0.1,2.3,30.6,0,1,12.5,17.5,4,30.5,13.3,0,0,0.5,1.4,0.4,0.3,0.1,0.2,0.3,0,0.2,0.3,0.7,0,0,0.6,0,0,0,2.2,18.4,2,0.1,0.1,0,0.7,0,44.3,55.7,CF,0
Arnaud Kalimuendo,2020-2021,18,2 Teams,0.5,0.2,0.7,0.5,0,0,0,0.4,0.4,0.2,0.6,0.1,0.6,0.1,0.1,0,0.18,2.4,0.21,0.39,1.3,52.9,16.7,21.7,77.2,1.1,0.6,0.9,0.3,1.5,231.7,31.7,9.8,11.6,83.8,5.5,7,79,0.5,0.8,63.6,23.2,142.5,71,2.9,1.8,1.3,3.6,2.4,28,9.2,0.7,0.3,3.1,32.9,0.2,1.2,13.3,19.2,3.8,32.9,17.4,0,0,1.2,2,0.6,0.1,0.1,0.4,0.8,0,0.8,0.1,0.7,0.1,0,0.1,0.1,0,0,2.1,20.6,1,0.1,0,0.1,1.5,0,53.1,46.9,CF,0
Bamba Dieng,2021-2022,21,Marseille,0.6,0.1,0.7,0.6,0.1,0.1,0,0.7,0.7,0.2,0.9,0.1,0.8,-0.1,-0.1,-0.1,0.2,3.3,0.17,0.33,1.7,50,13.3,17.8,74.6,0.7,0.6,0.6,0.1,1.4,166.1,27.9,7.8,9.7,80,3.6,4.3,83,0.2,0.4,50,18.6,118.2,60.8,2.2,0.9,1.6,2.3,1.2,21.5,7.6,0.5,0.1,1.8,29.3,0.6,3,10.4,16.2,6.3,29.2,39.4,0,0.1,1.3,1.2,1.6,1,0.4,0.9,0.6,0,0.6,0.5,2,0.7,0,0.4,0.2,0,0,3.8,17,0.8,0,0.3,0.1,0.3,0,29.4,70.6,CF,0
Baptiste Guillaume,2018-2019,23,Nîmes,0.2,0.1,0.2,0.2,0,0,0,0.2,0.2,0.1,0.3,0,0.3,-0.1,-0.1,0,0.19,1.3,0.12,0.22,0.7,52.9,13.3,21.4,62.3,0.8,0.8,0.3,0.1,2,159.5,30.2,9.1,13.5,67.4,2.7,4.1,66.7,0.3,0.5,66.7,14.2,63.6,21.2,0.7,1,0.2,2.8,1.4,21.8,4.6,0.1,0.1,1.7,29.4,0.5,2.1,15.4,12.4,2.3,29.4,54.2,0.3,0,1.8,1.6,0.9,0.5,0.2,0.5,0.5,0,0.5,0.2,1.1,0.5,0,0.2,0.1,0,0,2,20.1,1.2,0,0,0.1,0.2,0,71.4,28.6,CF,0
Benjamin Jeannot,2017-2018,25,Dijon,0.3,0.1,0.3,0.3,0,0,0,0.2,0.2,0.1,0.3,0.1,0.3,0,0,0,0.13,1.7,0.15,0.44,0.6,33.3,16,22.6,70.6,0.8,1.1,0.3,0,2.2,216.5,39.5,9.8,12.9,76.1,4.3,5.9,73.1,0.7,1.6,44,17.6,74.5,23.4,0.7,0.9,0.3,2.3,2.2,23,5.2,0.3,0.1,1.7,31.9,1.7,4,15.9,12.2,3.1,31.9,37.8,0.3,0,1.5,1.1,0.8,0.4,0.1,0.8,0.6,0.2,0.4,0.4,1.2,1.7,0,0.9,0,0,0,2.5,20.1,2.6,0.1,0.2,0.2,0.3,0,61.5,38.5,CF,0
Benjamin Jeannot,2018-2019,26,Dijon,0.1,0,0.1,0.1,0,0,0,0.2,0.2,0,0.2,0.1,0.2,-0.1,-0.1,0,0.08,2.8,0.04,0.17,0.8,26.7,19.4,27.4,70.7,0.7,1.9,0.4,0.1,2.8,296.2,63.2,11.3,14.1,80.4,6,8.4,71.6,1.5,2.6,58.5,18.1,77.8,30,0.4,0.4,0.1,2.3,1.1,26.2,5.5,0,0,2.1,38.4,1.3,4.5,18.6,15.7,3.4,38.4,43.7,0.2,0,2.1,1.4,1.1,0.8,0.4,0.8,0.9,0.2,0.8,0.8,1.8,0.9,0,0.4,0,0,0,4.4,25.9,1.3,0.1,0,0.2,0.7,0,66.7,33.3,CF,0
Boubakary Soumaré,2019-2020,20,Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.1,0,,0,0,50.2,56.2,89.3,0.9,6.7,0.3,0,5.5,852.4,221.3,22.5,24.6,91.3,19.4,20.9,92.9,5.5,6.8,80.4,40.4,229.1,95.3,1.6,1.2,0.1,1.3,1.1,47.6,1.6,0.1,0,1.9,1.6,64,0.7,7.2,49.3,8.4,0.3,64,52.6,0.1,0.1,1.2,0.7,1.4,0.9,0.7,0.7,0.4,0,0.4,1.2,2.6,0.7,0,0,0,0,0,6.3,55,1.2,1,0,0.4,0.2,0,87,13,CF,1
Boubakary Soumaré,2020-2021,21,Lille,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.04,0.4,0,0,0.1,37.5,63.3,73,86.8,0.6,9.1,0.4,0,8.5,1091,317,28.9,33,87.6,26.5,28.9,91.6,6,8.3,72.2,52.7,261.3,124,1.4,1.3,0,1,1,62.4,1.8,0.2,0.2,1.6,1.5,80.9,1.9,12.4,59.8,9.3,0.2,80.9,62.5,0.1,0,1.1,0.8,2.1,1.4,0.7,0.7,0.7,0.3,0.4,1.8,3.9,1,0,0,0,0,0,6.9,72,0.9,0.8,0,1,0,0,85.3,14.7,CF,1
Boulaye Dia,2018-2019,21,Reims,0.4,0,0.4,0.4,0,0,0,0.4,0.4,0.1,0.5,0,0.5,-0.1,-0.1,-0.1,0.18,2.4,0.15,0.33,1.1,45,12.8,18.8,67.9,0.8,0.2,0.6,0,1.4,157.6,31.9,7.3,10.4,70.9,4,5.3,75,0.4,1,37.5,19.3,137.1,68,2.4,1.4,2,3.4,1.7,21.3,7.6,0.4,0,2.9,33,1.2,4.5,14.8,14.9,5.2,33,41.7,0.2,0,1.1,1.6,1.4,0.7,0.6,0.7,0.5,0.2,0.2,0.5,1.9,1.1,0,0.2,0.1,0,0,4.1,17.5,1.3,0,0,0,0.1,0,53.1,46.9,CF,1
Boulaye Dia,2019-2020,22,Reims,0.3,0,0.4,0.3,0,0,0,0.3,0.2,0.1,0.4,0.1,0.4,0.1,0.1,-0.1,0.13,1.9,0.16,0.35,0.8,44.7,11.7,16.1,72.6,1.4,0.7,0.4,0,1,160.7,22.4,7.4,9,81.8,3.5,4.9,72.4,0.4,0.6,66.7,15.7,105.8,45.5,1.6,1.4,1,2.9,1.5,18.1,5.7,0.2,0.1,2.3,27.3,1,3.3,11.9,12.9,4.2,27.3,25,0,0,1.2,1.2,0.7,0.4,0.1,0.3,0.4,0.1,0.3,0.3,1.1,0.8,0,0.6,0,0,0,2.8,14.4,1.6,0.1,0,0,0.2,0,45.8,54.2,CF,1
