Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Penalty_kicks_missed,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Touches/90,Touches_Def_Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Offsides,Penalty_kicks_won,Penalty_kicks_conceded,Own_goals,Recov_loose_balls,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Succ_Takes_on%,Tkld_During_Take_On%,Role,Tier_league
Stéphane Bahoken,2017-2018,25,Strasbourg,0.4,0.1,0.4,0.4,0,0,0,0.4,0.4,0.1,0.5,0.1,0.5,0,0,0,0.18,2,0.19,0.47,0.8,40.5,12.7,18.4,68.8,0.7,0.4,0.9,0.4,1.2,169.6,37.9,7.7,9.4,82.7,3.5,4.9,71.1,0.5,1.1,47.6,18.4,101.8,41.8,1.7,0.7,0.6,2.9,1.8,20.3,6.7,0.1,0.1,1.7,28.1,0.1,2.1,12,14.3,3.2,28.1,34.1,0.3,0,2.5,1.1,0.9,0.6,0.2,1,1,0.1,0.9,0.5,1.4,0.1,0,1.1,0,0.1,0,2.6,16.9,1.5,0.1,0,0,2.3,0.1,36.8,63.2,CF,0
Stéphane Bahoken,2020-2021,28,Angers,0.3,0.1,0.4,0.3,0,0.1,0.1,0.5,0.4,0.1,0.5,0,0.5,-0.1,-0.1,0.1,0.13,3.3,0.1,0.26,1.3,39,13,18.5,70.3,0.6,0.8,0.4,0.1,1.2,175.5,23.9,7.5,9.4,79.9,3.9,5.2,74.5,0.6,0.8,73.3,19.4,108.5,41.6,1.9,1,0.8,3.9,1.9,23.6,6.1,0.2,0.1,1.2,31.1,0.5,1.2,14.8,15.4,4,31,32.1,0.2,0,1.7,1.6,0.5,0.3,0.2,0.4,0.5,0,0.5,0.5,1,0.5,0,0.9,0,0,0,2.2,16.9,1.6,0,0.1,0,1.1,0,58.3,41.7,CF,0
Stevan Jovetić,2017-2018,27,Monaco,1,0.1,1.1,1,0,0,0,0.6,0.6,0.1,0.7,0.1,0.7,0.3,0.3,0.1,0.17,4.2,0.23,0.53,1.8,42.9,20.6,30.7,66.9,1,1.9,1,0,3.8,298.7,76.6,12.2,16.9,72.3,6,8.8,67.6,1.1,2,52.9,28.2,143.7,77.1,2.3,2.7,0.4,3.1,2.2,35.3,7.4,0.7,0.4,3.3,42.2,0.4,1.6,21.5,20.4,4.5,42.2,45.6,0.1,0,1.8,1.3,0.5,0.5,0,1.1,0.6,0,0.6,0.4,0.8,0.4,0,0.8,0,0,0,4.3,29.9,0.6,0,0.4,0.2,0.5,0,54.5,45.5,SS,0
Steve Mounié,2021-2022,26,Brest,0.4,0.1,0.4,0.3,0.1,0.1,0,0.5,0.4,0,0.5,0,0.4,-0.1,-0.1,0,0.15,2.8,0.1,0.3,0.9,31.9,16.7,28.1,59.3,0.7,1.8,0.5,0,2.5,223.4,60.2,10.3,15.6,65.9,4.7,8.6,54.8,0.5,1,56,21,105.5,35,1.1,1.1,0.2,3.5,0.9,31.4,4.1,0.4,0.2,1.9,39.7,0.6,3.3,21.4,15.4,4.5,39.6,65,0.1,0,1.7,1.1,0.7,0.2,0.2,0.9,0.5,0,0.5,0.2,0.9,0.5,0,0.4,0,0,0,2.5,28,0,0,0.1,0.2,0.4,0,32,68,CF,0
Steve Mounié,2020-2021,25,Brest,0.3,0.1,0.4,0.3,0,0.1,0,0.4,0.4,0.1,0.5,0.1,0.4,-0.1,-0.1,0,0.13,2.6,0.1,0.24,1.1,42.3,14.4,25.2,57,0.6,1.1,0.4,0.1,1.6,201.9,43.9,8.4,13.6,61.9,4.5,7.8,57.6,0.7,1.1,61.8,16.6,73.6,23.3,0.9,0.6,0.2,2.3,1.2,27.5,4.7,0.3,0.2,1.6,35.6,1.4,3.6,16.3,16,5.2,35.5,71,0.2,0,2.3,0.9,0.5,0.4,0.1,0.8,0.6,0.1,0.5,0.4,0.9,1.3,0,0.7,0,0,0,2.6,24.7,0.3,0,0,0.1,0.4,0,48.1,51.9,CF,0
Suk Hyun-jun,2017-2018,26,Troyes,0.5,0,0.5,0.5,0,0,0,0.4,0.4,0.1,0.5,0,0.5,0.1,0.1,-0.1,0.18,2.3,0.2,0.6,0.8,33.3,12.8,23.9,53.6,0.9,0.7,0.3,0.1,1.3,150.4,37.5,8.7,12.5,69.3,2.5,6.1,40.7,0.5,0.9,50,16.6,93.5,35.4,1.9,0.9,0.8,3.5,1.4,27.7,6.3,0.1,0,1.7,35,0.5,3.2,15.3,16.9,4.7,35,52.4,0.4,0,3.3,2.6,0.5,0.4,0.1,0.6,0.8,0,0.8,0.1,0.5,0.5,0,0.3,0,0,0,2.2,21.3,2.4,0.1,0,0.1,1.1,0,26.9,73.1,CF,0
Suk Hyun-jun,2018-2019,27,Reims,0.3,0,0.3,0.3,0,0,0,0.4,0.4,0.1,0.4,0,0.4,0,0,-0.1,0.16,2.4,0.14,0.43,0.8,33.3,9.9,19.7,50,0.9,1.7,0.5,0.3,1.7,138.9,29.4,6.1,9.8,62.8,3,5.7,52,0.3,1.5,23.1,13.8,73.5,26.6,1.2,0.3,0.6,3.6,1.1,24.3,5.2,0.1,0,1.1,30.9,0.6,1.7,13.6,15.5,4.3,30.9,54.8,0.3,0,2.7,1.8,1.2,0.9,0,0.9,0.2,0.1,0.1,0.2,1.5,0.5,0.1,1.5,0,0,0,1.2,18.8,0.9,0,0,0,1.4,0,54.5,45.5,CF,0
Terem Moffi,2020-2021,21,Lorient,0.6,0.1,0.7,0.6,0,0,0,0.4,0.4,0.1,0.6,0.1,0.6,0.2,0.2,-0.1,0.17,2.4,0.24,0.54,1,43.6,11.5,16.8,68.2,1.1,0.6,0.6,0,1.5,156.6,29.4,6.9,9.6,71.6,3,4.2,71.9,0.6,1,60.9,15.6,82.5,34.9,1.5,1.5,0.8,4.1,1.9,20.4,5.7,0.3,0.1,2.4,28.9,0.3,1,13.3,15.2,4.3,28.8,32.8,0.1,0,1.3,0.8,0.6,0.3,0.2,0.7,0.2,0.1,0.1,0.2,0.7,0.3,0,0.5,0,0,0,2.5,14.9,1.8,0,0,0,0.2,0,41.4,58.6,CF,0
Terem Moffi,2021-2022,22,Lorient,0.3,0.1,0.4,0.2,0.1,0.1,0,0.4,0.3,0.1,0.5,0.1,0.4,-0.1,-0.1,0,0.16,1.9,0.1,0.3,0.7,34.5,13.7,18.8,72.8,1.1,1.1,0.5,0.1,1.6,190.9,38.3,7.9,9.9,79.8,3.7,5.2,71.3,0.9,1.3,66.7,17.3,97.3,45.4,1.7,1.1,1.1,3.3,1.4,21.4,5.1,0.3,0.2,2.3,29.2,1,2.3,14.2,13.1,4.6,29.2,34.9,0,0,0.8,0.6,0.6,0.3,0.3,0.8,0.4,0.1,0.3,0.1,0.7,0.7,0,0.5,0,0,0,2.4,17.5,1.3,0,0.2,0.1,0.2,0,52.4,47.6,CF,0
Thierry Ambrose,2020-2021,23,Metz,0,0.1,0.1,0,0,0,0,0.1,0.1,0.2,0.3,0.1,0.3,-0.1,-0.1,0,0.05,2.3,0,0,0.7,31.6,19.6,29,67.5,1.3,2.5,1.1,0.2,3.6,308.4,76.9,9.9,13.5,73.5,6.1,7.8,78.5,1.9,3.6,53.3,26.7,172.6,69.3,3.1,2,1.1,3.9,3.1,33.1,9.2,0.2,0.2,3,40.2,0.6,1.6,19.6,19.6,4.2,40.2,42,0.5,0,2.6,1.1,0.8,0.5,0.2,1.2,0.2,0,0.2,0.2,1.1,0.5,0,0.4,0,0,0,3.9,27.4,1.6,0.1,0.1,0.2,2.3,0.4,58.1,41.9,CF,0
