Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def _3rd,Touches_Mid _3rd,Touches_Att _3rd,Touches_Att_ Pen,Touches_Live,Role,Tier_league
Jordan Lotomba,2021-2022,22,Nice,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.09,0.5,0,0,0.1,22.2,41.3,51.1,80.9,0.7,2.8,0.8,0.6,4,599.6,231.8,25.4,28.2,90,12.4,15.2,81.7,2.2,3.7,36.6,217.4,114.3,2.5,2,0.4,1.5,0.9,36.6,5.1,0.2,0.2,1.9,1.5,44.4,0.2,0,0.6,1.2,1.7,0.9,0.8,0.7,0.9,0.2,0.7,0.6,2.3,1.4,0,41.2,9.7,1,0,0.2,2.2,0,0.2,53.7,46.3,60.3,2.5,16.4,27.4,17.1,1.3,60.3,RB,0
Jorge,2017-2018,21,Monaco,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.03,0.3,0.14,0.5,0.1,28.6,34.4,46.4,74.1,0.6,2.5,0.9,0.6,3.9,556.6,200.9,18.4,21,87.9,12.9,17.8,72.8,2.8,5.4,29.8,176.2,99.5,2.8,2.3,0.3,1.5,1,30.6,5.4,0.2,0,1.5,0.9,43.5,0.4,0,1.3,2,3.2,1.9,1.1,0.7,0.9,0.1,0.8,3.1,6.3,4,0,37.1,9.2,0.7,0,0.2,2.9,0,0.1,40.4,59.6,61.6,2.7,17.2,31.9,13.7,0.7,61.6,LB,0
Joris Gnagnon,2017-2018,20,Rennes,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0.09,0.9,0.07,0.22,0.3,32.1,36.4,40.1,90.6,0.1,0.9,0,0,2.2,681.5,206,11.3,12.1,93.9,21.2,22.3,95,3,4.5,28.3,138.9,76.1,0.3,0.2,0,0.4,0.2,32.7,0.2,0.1,0.1,0.4,0.3,66.7,0.1,0,0.8,0.8,1.3,0.9,0.6,0.3,0.7,0.5,0.2,0.9,2.2,4.7,0.1,38.6,1.4,1.3,0,0.2,0,0,0.1,100,0,49.1,4.4,20.4,26.3,2.5,1.3,49.1,CB,0
Joris Gnagnon,2019-2020,22,Rennes,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.07,0.6,0,0,0.1,11.1,41.3,46.3,89.2,0.3,2,0.1,0,2.5,790.8,249.6,12,13.2,91,25.6,27.5,93.1,3.4,4.7,35.6,222,120.4,0.7,0.1,0,0.1,0.2,36.3,0.2,0.1,0.1,0.4,0.3,63.9,0.1,0,1.1,0.6,1.1,0.9,0.7,0.1,1.5,1.2,0.3,1.3,2.4,4.3,0,44.9,1.2,1.1,0,0.1,0.3,0,0.2,100,0,55.8,7.3,29.6,24.7,1.8,1,55.8,CB,0
Juan Bernat,2018-2019,25,Paris S-G,0,0.1,0.1,0,0,0,0,0,0.1,0.2,0.2,0.2,0,0,0.16,0.2,0.2,1,0,20,51.1,57.7,88.5,1,2.5,0.9,0.3,3.6,667.2,149.9,31.5,33.4,94.1,14.2,16.1,88.1,1.7,2.8,61.4,39.9,184.7,98.2,2.5,1.4,0.6,1.4,1.1,48.8,7.5,0.2,0.2,2.3,2,39,0.3,0,1.6,1,2.3,1.6,1.1,1.2,0.9,0.2,0.7,1,3.3,2,0,52.1,5.4,0.1,0.1,2,2,0.2,0.2,56.3,43.8,67.8,2.3,13.5,33.9,20.6,2.3,67.8,LB,1
Juan Bernat,2019-2020,26,Paris S-G,0,0.3,0.3,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.1,0.07,0.4,0,0,0.1,16.7,65.3,73.3,89.1,0.9,2.9,0.9,0.1,4.1,853,177,43,45.5,94.4,19.1,21.3,89.9,0.9,1.8,51.9,46.6,219.2,119.2,2.9,2.3,0.5,1.2,1,59.9,8.4,0.3,0.3,1.8,1.6,25,0.3,0,1.1,1,2.7,1.8,1.3,2,0.8,0.1,0.8,0.6,3.4,1.7,0,65.3,7.7,0,0,1.6,1.6,0,0.3,71.8,28.2,83.6,2.4,16.7,44.9,22.6,3,83.6,LB,1
Juan Bernat,2021-2022,28,Paris S-G,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.1,0.1,0,0,0.1,100,59,64,92.2,0.5,3.5,0.5,0.1,2.8,758.7,180.4,39.5,41.8,94.4,16.3,17.4,93.5,0.9,1.6,58.8,46.2,215.6,108.6,1.9,1,0.6,0.7,0.5,54.2,8,0.1,0.1,0.9,0.9,50,0.2,0,0.4,0.8,2.3,1.3,1.2,0.5,0.8,0,0.8,0.8,3,1.5,0,58.2,5.7,0.1,0,1.1,1.1,0,0.1,60.9,39.1,72.4,3.1,18.4,36.1,18.6,2,72.4,LB,1
Jules Koundé,2017-2018,18,Bordeaux,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.13,0.6,0.2,0.67,0.2,30,39.9,47.8,83.4,0.2,2.9,0.2,0,3.6,773.4,303.8,15.6,16.8,92.9,18.3,20.2,90.7,5.4,9.5,36.5,230.1,159.8,1.2,0.6,0,0.1,0.2,36.7,0.1,0.1,0.1,0.8,0.7,46.9,0.1,0,0.5,0.3,1.5,1.1,0.7,0.2,0.8,0.6,0.2,0.8,2.3,5.5,0,46.3,1.4,1.4,0.2,0.7,0.1,0,0.1,50,50,57.5,5.7,27.6,28.8,1.7,0.6,57.5,RB,1
Jules Koundé,2018-2019,19,Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.4,0,0,0,7.7,43.6,54.5,80.1,0.3,3.1,0.2,0,4,821.4,338.6,16.8,19.1,87.8,21.3,23.6,90,4.9,9.9,37.2,219.5,147.7,0.9,0.4,0,0.4,0.2,39.9,0.1,0.1,0,0.8,0.6,56.9,0.1,0,0.7,0.6,1.3,0.8,0.7,0.4,1.2,0.6,0.6,1.4,2.6,5.2,0.2,51.6,2.7,1.6,0.1,0.3,0.1,0,0.2,86.7,13.3,65.4,6.6,33.2,30.9,2.1,0.6,65.4,RB,1
Julien Laporte,2020-2021,26,Lorient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.3,0,0,0,12.5,42,51,82.3,0.2,2.4,0.2,0,2.5,906.2,348.5,11,12.2,90.3,24.3,27.2,89.3,6.5,10.8,34.4,175.6,100.8,0.6,0.2,0.1,0.1,0.1,36.8,0,0.1,0,0.8,0.7,61.5,0.3,0,1,0.6,2.2,1.3,1.4,1.1,1.2,0.8,0.4,2.2,4.4,4.2,0,49.2,1.7,1.6,0,0.3,0,0,0.1,85.7,14.3,61.4,7,35.2,25.8,0.9,0.5,61.4,CB,0
Julien Laporte,2021-2022,27,Lorient,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.11,0.5,0.12,0.67,0.1,17.6,38.1,45.3,84.1,0.2,2.5,0.2,0,2.6,852.9,350.3,9.4,10.4,90.4,20.3,22,91.9,7.9,11.3,32.9,159.5,84.8,0.4,0.3,0,0.2,0.1,33.4,0.1,0,0,0.4,0.3,59.1,0.2,0,0.9,0.8,2,1.4,1,1,1.2,0.7,0.5,1.7,3.6,5.4,0,43.5,1.5,1.4,0,0.7,0.1,0,0.2,71.4,28.6,56.8,8,32.1,23.5,1.5,0.7,56.8,CB,0
Junior Sambia,2020-2021,23,Montpellier,0,0.2,0.3,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.06,0.7,0.06,0.14,0.3,38.9,37.5,48.6,77.2,1,3.5,1.4,0.8,4.3,626.8,258.8,19.9,22.5,88.4,13.3,17.4,76.7,3.6,6.4,31.9,180.3,99,2.3,2.6,0.3,1.5,1.4,35.8,4.5,0.5,0.4,2.9,2.1,53.9,0.1,0,0.8,1.6,1.5,1.1,1,0.4,1,0.5,0.5,1.4,2.9,1.7,0,39.2,9.3,0.4,0,0.6,3.4,0.2,0,50,50,60.1,2.6,15.8,28.2,16.8,0.9,60.1,RB,0
Junior Sambia,2021-2022,24,Montpellier,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.08,1.2,0.05,0.17,0.4,30,32.3,42.6,76,0.6,2.7,0.7,0.4,3.1,514.3,200,17.6,20.7,85,10.2,13.4,76.3,2.9,5.9,30.4,175,98.2,3.2,2.4,0.3,1.9,1.1,32.1,6.3,0.2,0.1,2,1.2,56.8,0.3,0.1,1.1,1.5,1.3,0.8,0.8,0.5,1.3,0.2,1.1,1.2,2.5,1.8,0,33.6,8.9,0.5,0,0.3,2.9,0.1,0.1,56.5,43.5,54.2,3.4,14.4,24.6,16.1,1.2,54.2,RB,0
Junior Sambia,2018-2019,21,Montpellier,0,0.1,0.1,0,0,0,0.2,0.2,0.2,0.4,0.1,0.4,-0.2,-0.2,-0.1,0.09,2.2,0,0,0.6,26.1,29.5,40.3,73.3,2.1,3.6,1.5,0.6,3.7,517.6,144.2,14.4,17.6,81.8,10.1,12.8,78.8,4.1,7.2,56.8,31.7,250.2,103.9,3.4,2.9,0.6,3.7,2.7,37.8,7.5,0.3,0,4.5,41.4,0.3,0,1.8,2.3,1.5,0.7,0.6,0.9,1.4,0.2,1.2,0.5,1.9,0.3,0,33.7,6.3,1.5,0,0.8,5.6,3.4,0.4,60.4,39.6,56.3,0.4,4.7,26,26.1,2.8,56.3,RB,0
Kévin Malcuit,2017-2018,26,Lille,0,0.3,0.3,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.1,0.04,0.5,0,0,0.1,30,46.8,59.4,78.7,1.2,3.5,1,0.6,5.4,701.7,293,26.7,30.2,88.7,14.9,18.6,80.1,3,6.3,42.9,301.1,184.3,5.2,3.5,0.7,1.9,1.5,46.2,5.6,0.3,0.3,2.6,2,52,0.1,0,0.6,1.6,2.5,1.8,0.8,0.4,0.6,0.2,0.4,1.9,4.4,2.3,0,50.6,8.8,1.2,0,0.3,3.3,0,0.1,59.4,40.6,72.4,2.6,20.6,35,18.4,1.5,72.4,RB,1
Kévin Théophile-Catherine,2017-2018,27,Saint-Étienne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.1,0,,0,0,38,46.4,81.9,0.2,2.7,0.3,0,3.2,754.4,272.6,13.5,14.6,92.3,19.1,20.9,91.4,5.2,9.9,30.9,178.6,123.3,0.4,0.1,0,0.5,0.3,35.8,0.2,0.1,0.1,0.6,0.5,58.6,0.2,0,1,0.5,1.5,1.1,0.5,0.5,0.8,0.6,0.2,1.3,2.8,4.7,0,44.1,2,0.8,0,0.7,0.1,0,0.2,85,15,55.7,6,26.2,28.5,1.5,0.3,55.7,CB,0
Kelvin Amian,2017-2018,19,Toulouse,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0,0.09,0.4,0.07,0.17,0.2,40,28.9,37.2,77.7,0.3,2.5,0.5,0.3,3.1,494.4,214.2,14.4,16.2,88.6,11,13.5,81.6,2.9,5.6,52.6,21.5,110.8,61.7,1.2,0.9,0.1,1,0.6,21.3,2.4,0.1,0.1,0.9,0.5,48.6,0.1,0,0.8,0.4,1.7,1.2,0.6,0.3,0.7,0.2,0.5,1.3,3,3.6,0,27.9,9.2,0,0.2,1.2,1.2,0,0.1,55.9,44.1,46.6,3.5,16.3,21.1,9.6,0.5,46.6,RB,0
Kelvin Amian,2018-2019,20,Toulouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.6,0,0,0.1,22.2,29.4,37.7,78,0.2,2.3,0.4,0.1,3.3,449.5,192.5,16.6,18.8,87.9,10.1,12.8,78.3,1.8,4.1,45.4,20.5,122.5,78.7,1.4,1.5,0.1,1,0.6,22.5,1.8,0.1,0.1,1.2,0.8,49,0.2,0,1.2,0.3,2.1,1.4,0.6,0.3,1.1,0.4,0.7,1.1,3.2,3.5,0,29.9,7.7,0,0.1,0.7,0.7,0,0.1,61.5,38.5,48.4,3.8,16.6,23.7,8.7,0.3,48.4,RB,0
Kelvin Amian,2019-2020,21,Toulouse,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0,0.1,0.05,0.4,0,0,0.2,37.5,30.1,37.3,80.8,0.3,2.3,0.4,0.1,3.7,479.2,188.6,15,16.6,90.7,11.6,13.7,84.3,2.4,4.7,50,22.9,150.5,89,2.1,1.5,0.3,1,0.6,23.5,1.5,0.1,0.1,0.8,0.6,50,0.2,0,1.3,0.4,1.5,1.2,0.8,0.6,0.8,0.4,0.4,1,2.5,3.1,0,29.4,7.8,0.1,0.1,0.7,0.7,0,0.1,45.8,54.2,46.5,4.1,15.8,21.6,9.5,0.6,46.5,RB,0
Kelyan Guessoum,2020-2021,21,Nîmes,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.08,0.5,0,0,0.1,16.7,40.3,45.7,88.1,0.1,1,0.2,0,1.9,844.4,200.7,8.9,10,89.6,26.6,28.4,93.5,4.6,6.7,35.3,187.5,104.6,0.3,0.2,0,0.2,0.1,36.9,0.1,0.1,0,0.3,0.1,57.1,0.2,0,0.5,1,1,0.6,0.9,0.4,0.6,0.5,0.2,1.9,3,4.1,0,44,1.5,1.4,0,0.6,0,0,0.2,100,0,54.7,5.4,30.4,23.5,1.1,0.6,54.7,CB,0
Kenny Lala,2017-2018,25,Strasbourg,0.1,0.1,0.2,0,0.1,0.1,0,0.1,0,0.1,0.2,0.1,0.1,0,0.1,0.04,0.4,0,0,0.1,16.7,44.3,58.3,76,0.8,4,1.3,0.4,5.6,925.4,333.3,17.4,19.4,89.8,16.5,21.5,76.8,9.8,15,38.8,282.1,164.7,3.7,3.2,0.2,1.3,1.2,38.5,2.3,0.3,0.2,2.3,1.5,50,0.2,0,0.9,1,2.9,1.6,0.7,0.9,0.6,0.3,0.3,1.4,4.3,2.3,0.1,45,12.9,1.6,0.1,1.3,2.3,0,0.4,57.9,42.1,69.7,3.8,21.5,35,14.5,0.4,69.6,RB,0
Kenny Lala,2018-2019,26,Strasbourg,0.1,0.3,0.4,0.1,0,0.1,0,0.1,0,0.1,0.2,0.1,0.2,0.1,0.1,0.06,0.6,0.19,0.5,0.2,38.1,49,64.5,76,1.8,4.4,1.6,0.7,5.6,954.5,326,20.8,23.4,88.9,18.4,23.6,77.7,8.5,13.4,42.3,268.1,153.4,3.9,3.4,0.1,2,1.4,45.3,5,0.5,0.4,3,2.1,40,0.1,0,1,1.1,2.3,1.3,0.9,0.7,0.8,0.3,0.5,0.8,3.1,1.8,0.1,50.6,13.7,1.9,0.2,1.6,5.9,1.6,0.1,43.4,56.6,75.7,2.6,16.7,36.7,23.3,0.8,75.7,RB,0
Kenny Lala,2019-2020,27,Strasbourg,0.1,0,0.1,0,0.1,0.1,0,0.1,0.1,0.1,0.3,0.1,0.2,-0.1,-0.1,0.1,0.7,0,0,0.2,29.4,44.4,60,74.1,1.3,3.9,1.2,0.6,4.3,900.9,294.8,16.7,19.5,85.6,17.8,22.6,78.6,8.8,14.3,38.2,278.8,167.2,4.1,3,0.5,1.4,1.2,39.8,3.2,0,0,2.6,1.8,61.5,0,0,0.7,0.8,1.3,0.7,0.5,0.7,0.6,0.2,0.4,0.9,2.2,1.8,0,46,13.9,2.2,0.1,1.3,5.8,1.7,0.1,64.7,35.3,68.8,3,18.5,32.6,19,1.1,68.7,RB,0
Kenny Lala,2020-2021,28,Strasbourg,0.1,0.1,0.2,0,0.1,0.1,0,0.1,0,0.2,0.3,0.2,0.2,0,-0.1,0.05,0.4,0,0,0.1,25,39.6,55.6,71.2,1.4,3.1,1.3,0.6,4.3,800.3,292.7,15.4,17.6,87.4,16,21.2,75.5,7.4,13.6,33.5,217.8,111.1,2.4,2.3,0.2,1.8,1.1,36.9,4.3,0.2,0.2,2.7,1.8,55.9,0,0,0.9,0.7,1.1,0.6,0.5,0.5,0.6,0.3,0.3,1.1,2.2,1.6,0,42,13.4,2,0,0.8,5.2,1.4,0.1,47.1,52.9,64.6,3.1,17.6,28.6,18.8,1,64.4,RB,0
Kenny Tete,2017-2018,21,Lyon,0.1,0.2,0.3,0.1,0,0,0,0,0,0.2,0.2,0.1,0.2,0,0.1,0.1,0.4,0.14,0.33,0.2,42.9,47.8,60.1,79.6,0.8,2.5,1.1,0.7,4.1,754.1,251.1,26.2,29,90.3,15.9,20.4,77.8,4,6.5,40.6,216.7,107.7,2.5,1.7,0.3,1.4,1.2,42.9,4.8,0.3,0.2,1.7,1.5,48.8,0.2,0,1.2,1.1,2.1,1.4,0.8,0.6,1.1,0.4,0.7,1.6,3.7,2.9,0,49.2,10.8,0.8,0.2,0.4,3.2,0,0.1,40,60,71.1,3.8,17.1,37.9,16.6,1.5,71.1,RB,1
Kenny Tete,2018-2019,22,Lyon,0,0.3,0.3,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,-0.1,0.1,0.09,0.7,0,0,0.2,25,53.5,66.1,80.9,1.6,4.8,1.7,0.9,5.5,874.2,302.7,27.3,29.5,92.7,20.7,25.4,81.4,3.9,7.6,47.3,255.6,149.1,3,1.9,0.3,1.5,0.6,50.8,8.5,0.3,0.3,2.8,2.6,48.6,0.1,0,1.6,1,2.6,2,1.1,0.5,1.1,0.4,0.7,1.5,4.1,2.5,0,58,7.6,0.4,0.1,0.3,4,0,0.6,16.7,83.3,78.1,2.3,14.9,44.1,19.3,2.2,78.1,RB,1
Kenny Tete,2019-2020,23,Lyon,0,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,-0.1,0,0.1,0.6,0,0,0.2,28.6,57.1,71.9,79.3,1,5,1.3,0.8,5.6,894.5,322.8,30.6,34.1,89.7,20.4,25.6,79.7,4.3,7.2,45.3,238.6,112.1,3.2,1.7,0.3,1.3,0.4,52,7.4,0.3,0.2,2.4,1.9,50,0.1,0,1.1,1.6,2.8,1.8,1.3,0.7,1,0.3,0.8,1.6,4.4,2.9,0,59.9,12.1,0.9,0,0.1,4,0,0,55,45,83.5,2.9,19.9,42.1,22,1.9,83.5,RB,1
Kevin Danso,2021-2022,22,Lens,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.13,0.4,0.15,0.5,0.1,30.8,52.1,60.5,86.1,0.3,1.9,0.1,0,2.9,1013.1,410.5,17,19.3,88.3,29.3,31.9,91.8,5.3,8.1,64.7,47.5,315.9,168.6,0.3,0.3,0,0.5,0.1,46.3,0,0.1,0,0.8,0.6,70.6,0.3,0.1,1.4,1.2,1.3,0.9,0.7,0.4,1.2,0.8,0.4,1.3,2.6,3.6,0,58.5,1.8,0,0.2,0,0,0,0.1,80,20,70.1,7.4,32.7,36.6,1.3,0.5,70.1,CB,1
Koffi Djidji,2017-2018,24,Nantes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.3,0,0,0.1,25,27.7,37.4,74.1,0.2,1.8,0.3,0.2,2.2,494.8,232.5,13,14.6,88.8,10.9,14.1,77.2,3.1,7,43.6,20.5,90.4,45.1,0.7,0.6,0,0.7,0.3,21.7,0.9,0.1,0.1,0.8,0.5,66.1,0.1,0,0.9,0.3,2,1.5,0.7,0.4,1.3,0.6,0.7,1.7,3.7,4.7,0,30.2,7.2,0,0.3,0.8,0.8,0,0,80,20,47.9,4.4,22.5,20.1,5.6,0.2,47.9,CB,1
Kouadio-Yves Dabila,2017-2018,20,Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,41.2,49.3,83.6,0.4,0.8,0.1,0.1,1.8,758.3,287.8,15.4,16.5,93.6,20,23,87.1,4.8,8.2,58.1,31.8,144,79,0.5,0.5,0,0.4,0.4,38,0.8,0,0,0.7,0.6,50,0.1,0,1.3,0,1.9,1,0.6,0.4,1.3,0.6,0.8,1,2.9,4.4,0,46.4,2.9,0.1,0.2,0.9,0.9,0,0,100,0,58.8,4.9,26.8,27.4,5,0.2,58.8,CB,0
Kouadio-Yves Dabila,2018-2019,21,Lille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.2,0,,0,0,37.3,43.6,85.5,0,0.7,0,0,1,725.3,262.6,12.1,13,92.9,21.3,22.8,93.4,3.6,6.7,53.4,29.7,137,61.7,0.1,0,0,0.2,0.1,32.5,0,0,0,0.3,0.3,40,0.2,0,0.7,0.3,1.3,0.7,0.6,0.1,1.5,1,0.5,0.7,2,5.1,0,41.8,1.6,0,0.7,0,0,0,0.2,100,0,53.9,7,32.3,21.6,0.3,0.3,53.9,CB,0
Léo Lacroix,2017-2018,25,Saint-Étienne,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.1,0.9,0,,0,0,35.2,41.2,85.4,0.2,1.5,0,0,2.4,756.9,288.2,10.2,11.6,88,18.9,20.7,91.6,5.9,8.1,25.5,132,77,0.5,0.1,0.1,0.5,0.1,32.1,0.1,0,0,0.5,0.2,60.6,0.3,0.1,1.2,0.3,1.5,0.9,0.6,0.5,0.7,0.3,0.3,1.3,2.8,6.3,0.1,39.9,1.2,1.2,0,0.6,0,0,0.1,100,0,53.2,7.4,30.1,22.1,1.6,1.2,53.2,CB,0
Léo Pétrot,2021-2022,24,Lorient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.2,0.2,0.33,0.1,60,39,47.3,82.6,0.1,2.1,0,0,2.2,790.9,262,12.4,13.8,89.9,20.4,22.6,90.5,5.7,9.6,37.3,184,99.8,0.3,0.3,0,0.4,0.1,37.2,0.2,0,0,0.3,0.3,38.2,0,0,0.3,0.5,1.5,0.8,1,0.4,1.6,0.8,0.8,1.1,2.6,4.3,0,46,1.1,1,0,0.1,0,0,0.1,50,50,57,7.7,32.2,24,1.1,0.4,57,LB,0
Layvin Kurzawa,2017-2018,24,Paris S-G,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0.06,1.1,0.1,0.67,0.2,14.3,50.4,59.6,84.6,0.6,1.7,0.4,0.1,2.8,580.6,170.5,32.4,35.9,90.3,10.7,13.5,79.2,1,2,38.8,158.3,88.7,2.2,1.9,0.4,1.5,0.8,45.4,8,0.1,0.1,1.3,1,55.9,0.1,0,1.6,0.6,2.3,1.7,0.8,1.3,0.8,0.2,0.7,1.8,4.2,2.2,0.1,50.1,9.1,0.9,0.1,0.1,2.1,0,0.4,60,40,69.9,2.1,16.4,34.9,19.3,3.4,69.9,LB,1
Layvin Kurzawa,2018-2019,25,Paris S-G,0.1,0.2,0.3,0.1,0,0,0,0.1,0.1,0.3,0.4,0.2,0.4,0,-0.1,0.18,0.5,0.17,0.5,0.2,33.3,42.4,51.3,82.6,1.1,2.5,0.8,0.3,3.4,510.2,151.7,28.2,31.6,89,9.5,11.3,84.3,1,2.3,27.4,103.5,56.9,1.6,1.3,0.7,1.5,0.8,37.5,9.8,0.2,0.2,1.9,1.5,67.5,0.4,0,2.5,0.5,1.7,1,0.5,0.9,0.9,0.2,0.7,0.9,2.6,1.4,0,44.2,6.9,0,0,0.2,2.1,0.1,0.3,54.5,45.5,60.5,1.8,12,26.6,22.4,3.1,60.5,LB,1
Layvin Kurzawa,2019-2020,26,Paris S-G,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0,0.15,0.6,0.17,0.33,0.3,50,63,70.8,89,0.2,4.2,0.7,0.2,4.4,805.3,252.3,40.9,43.8,93.3,16.3,18.1,89.6,1.8,2.7,43.2,156.1,78.5,1.6,1.7,0.2,1.5,1.6,56.5,8.4,0.3,0.1,1.3,0.8,51.5,0.4,0,2.1,0.7,2.4,1.7,1.2,1.3,1.3,0.1,1.2,1.9,4.3,2.5,0.1,63.4,7.2,0.7,0,0.1,2.2,0,0.2,40,55,84.1,2.4,20,42,22.9,2.8,84.1,LB,1
Layvin Kurzawa,2020-2021,27,Paris S-G,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0,0,0.09,0.8,0.09,0.5,0.1,18.2,58.2,68.5,85.1,0.7,2.1,1.1,0.4,4.2,800.6,244.5,35.7,38.9,91.7,18.8,21.8,86.1,1.7,4.2,43.7,173.7,87.3,2.3,1.6,0.2,1.8,1,52.1,8.5,0.1,0.1,1.5,1.1,69.8,0.3,0.1,2.3,0.5,1.8,1.3,0.6,1.3,1.4,0.4,1.1,2,3.8,1.8,0.1,60.1,8.2,1.1,0,0.1,3,0,0.1,63.6,36.4,79.6,3.3,21.5,36.4,22.2,2,79.6,LB,1
Leo Dubois,2017-2018,22,Nantes,0.1,0.1,0.2,0.1,0,0,0.1,0.1,0.2,0.3,0.2,0.3,0,-0.1,0.05,1.3,0.07,0.27,0.3,24.4,41.8,59.5,70.2,1.7,4.1,1.2,0.7,5.1,738.1,385.7,21.1,23.5,89.7,14,19.2,73,5.7,13.2,43.3,32.7,186.6,109,2.9,2.5,0.3,1.5,0.8,35.3,3.9,0.3,0.1,3.5,2,49.3,0.1,0,0.7,0.9,1.5,1.2,0.6,0.8,1.4,0.4,1,1.5,3,2.9,0.1,43.6,15.7,0,0.4,7.5,7.5,2.4,0.2,70.4,29.6,70.8,3.1,19.7,30.2,21.7,1.1,70.8,RB,0
Leo Dubois,2018-2019,23,Lyon,0,0.3,0.3,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.1,0.05,0.8,0.06,0.17,0.3,33.3,55.1,66.6,82.7,1.1,3.7,1.2,0.9,5.7,858.6,281.1,30.9,33.8,91.4,19.7,23.2,84.7,3.5,5.5,63.5,44.5,238.4,145.6,3.8,2.2,0.6,0.9,0.5,47.7,6.9,0.3,0.3,2.4,1.8,53.8,0.1,0,1.3,0.7,2.2,1,0.9,0.7,1.3,0.4,0.9,1,3.2,2.7,0,56.4,9.9,0,0.2,3.9,3.9,0.1,0.3,44.8,55.2,76.5,3.3,16,41,20.1,1.8,76.5,RB,0
