Player,Season,Age,Team,Goals,Assist,G+A,Non_penalty_goals,Penalty_kicks-made,Penalty_kicks_attempted,Expected_goals,Non_penalty_xG,Expected_assisted_goals,xG+xAssisted_G,Expected_assists,Non_penalty_expGoals+assisted_goals,Goals-Expected_goals,Assists-expGoals_assisted,Non_penalty_expGoals_perShot,Shot_/90,Goals_per_shot,Goals_perShot_onTarget,Shots_onTarget,Shots_onTarget%,Passes_completed,Passes_attempted,Passes_completition%,Passes_toShot,Passes_into_last3rd,Passes_into18yard_box,Crosses_into18yard_box,Progressive_passes,TotDist_completed_passes,TotProgressive_passes,Completed_short_passes,Attempted_short_passes,Short_passes_Cmp%,Completed_medium_passes,Attempted_medium_passes,Medium_pass_Cmp%,Completed_long_passes,Attempted_long_passes,Long_passes_Cmp%,Carries/90,TotDist_Carries,PrgDist_Carries,Carries_10yards_forward,Carries_into_final_third,Carries_into18yard_box,Miscontrols,Dispossesd,Received,Prg_passes_received,Goal_creating_actions,PassLive_lead_goal,Shot_creating_actions,PassLive_lead_shot_attempt,Aerials_Won%,Yellow_cards,Red_cards,Fouls_committed,Fouls_drawn,Tackles_on_players,Tackles_won,Tackles_on_dribblers,Lost_challange_drib_player,Blocking_ball,Blocking_shots,Blocking_pass,Interceptions,Tackles_+Interc,Clearences,Mistakes_leadto_shot,Live_ball_passes,Dead_ball_pass,Passes_freeKick,Passes_behind_defenders,Swing_passes,Crosses,Corner_kikcs,Offsides,Succ_Takes_on%,Tkld_During_Take_On%,Touches/90,Touches_Def_Pen,Touches_Def _3rd,Touches_Mid _3rd,Touches_Att _3rd,Touches_Att_ Pen,Touches_Live,Role,Tier_league
Castello Lukeba,2021-2022,18,Lyon,0.1,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0.28,0.3,0.33,0.67,0.1,50,64.7,71.9,90,0.2,2.8,0.1,0,3.4,1191.1,439.8,22.8,24.6,92.7,36.9,39.4,93.7,4.6,6.3,59.4,279,128.6,0.5,0.3,0,0.7,0.3,57.7,0,0,0,0.6,0.5,53.2,0,0,0.8,0.6,1.5,0.8,0.6,0.3,0.8,0.4,0.4,1.6,3.1,2.7,0.1,69.9,1.9,1.5,0,0.2,0,0,0,92.9,7.1,80.9,6.4,37.6,42.3,1.5,0.6,80.9,CB,1
Charles Traore,2017-2018,25,Troyes,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0.05,0.3,0,0,0.1,27.3,39.4,52.7,74.8,0.6,2.9,0.7,0.3,3.9,644.5,284,20.1,22.8,88.1,14.7,19.1,77.2,3.4,7.5,28.3,131.7,78.9,1.2,1.1,0.1,0.8,0.4,31.7,3,0.2,0.1,1.5,1.2,53.3,0.2,0,0.9,0.8,1.8,1,0.8,0.9,1.6,0.5,1.1,1.7,3.5,5.1,0,40.3,12.2,0.8,0,0.3,2,0,0.2,55.6,44.4,64.9,4.8,24.9,28.2,12.5,0.5,64.9,LB,0
Charles Traore,2018-2019,26,Nantes,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,-0.1,0.03,0.5,0,0,0.2,42.9,33,46.2,71.4,0.5,2.8,0.9,0.5,3.6,510.4,243.5,17.6,20.5,86,12.2,16.8,72.8,2.2,4.8,22.9,113.5,69,2.1,1.5,0.2,1.1,0.7,26,2.6,0,0,1.5,1.2,59.1,0.2,0,2,1.7,3.1,1.5,1.8,0.9,1.2,0.2,1,1.5,4.6,3.6,0,34.1,11.7,0.5,0,0,2.2,0,0.4,33.3,66.7,58.4,3.3,17.5,26.9,14.6,0.8,58.4,LB,0
Charles Traore,2019-2020,27,Nantes,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.3,0,,0,0,42.2,57.6,73.3,0.5,4,0.8,0.2,4.2,697.4,314.7,20.7,24.3,85.3,18.4,24.6,74.6,2.8,6.8,29.8,137.3,73.2,1.1,0.7,0.1,0.7,0.3,35.3,1.2,0.1,0.1,1.2,1,60.3,0.2,0,1.1,1,2.5,1.8,1.9,1.3,1.1,0.2,0.9,2,4.5,3.3,0,45.6,11.8,1.2,0,0.2,1.7,0,0.2,65,35,69,3.6,22.4,36,11.2,0.2,69,LB,0
Charles Traore,2020-2021,28,Nantes,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.2,0.33,0.5,0.1,66.7,34.9,50.8,68.8,0.3,2.6,0.4,0.2,2.9,600.7,234.8,17.6,20.6,85.3,13.8,19.7,69.7,3.3,8.5,27,123.2,69,2,1.1,0.3,1.4,0.5,30.6,3,0.1,0.1,0.7,0.7,68.5,0.3,0,1.6,1.2,2.8,1.8,1.4,1.4,1.4,0.3,1.1,1.9,4.7,3.4,0,39.7,11.1,1,0,0.1,1.8,0,0.1,33.3,66.7,62.5,3.5,19.6,30.9,12.4,0.4,62.5,LB,0
Cheick Traoré,2018-2019,23,Guingamp,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,-0.1,0.05,0.5,0,0,0.1,25,24.8,41.3,60.1,0.7,1.6,1,0.6,3.4,431.6,227.4,11.8,14.9,79.5,10.2,17.2,59.4,2.3,6.4,18.5,142.2,74.2,2.6,2,0.7,1,0.8,22.5,5.9,0.1,0,1.8,1.2,42.9,0.2,0,1.5,0.6,2.2,1.3,0.9,0.6,0.8,0.2,0.6,1.4,3.6,2.7,0.1,28.5,12.5,0.5,0.1,0.2,4.2,0,0.3,39,61,53.3,2.3,14.1,21.4,18.3,1.2,53.3,RB,0
Chidozie Awaziem,2017-2018,20,Nantes,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0,0.1,0,0.1,0,0.1,0.07,0.8,0.08,0.5,0.1,15.4,28.8,38.6,74.7,0.2,2.2,0.1,0.1,2.7,557.7,267.6,10.2,11.3,90,13.8,15.8,87.5,4,9.6,42.2,21.3,102.4,66,0.6,0.3,0.1,0.3,0.6,22.7,0.3,0.1,0.1,0.8,0.6,52.5,0.1,0.1,1.3,0.7,2.6,1.8,1.7,0.7,1.1,0.7,0.4,1,3.5,5.8,0,33.2,5.1,0,0.4,0.1,0.1,0,0.2,83.3,16.7,50.5,6.4,26.8,20.7,3.2,0.7,50.5,CB,0
Christophe Hérelle,2017-2018,24,Troyes,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.13,0.4,0,0,0.1,30.8,32.2,38.7,83.4,0.2,2.9,0.1,0,3.7,738.4,261,8.2,9.3,88.2,16.9,18.5,91.4,6.8,9.8,26.2,147.1,79.9,0.5,0.2,0.1,0.3,0,27.7,0.1,0.1,0.1,0.6,0.5,66.7,0.2,0,0.8,0.8,1.2,0.8,0.5,0.4,1.2,0.8,0.3,1.7,2.9,7.3,0,37.3,1.3,1.2,0,0.7,0,0,0.1,20,80,51.3,7.8,28,22.1,1.4,0.6,51.3,CB,0
Christophe Hérelle,2018-2019,25,Nice,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.13,0.5,0,0,0.1,11.8,59.4,67,88.6,0.2,2.8,0.2,0.1,4.3,1171.3,387.7,17.2,18.5,92.9,35.7,37.7,94.7,5.9,9.3,40.2,184.5,114.5,0.5,0.2,0.1,0.5,0.2,55.3,0.1,0.1,0,0.5,0.4,63.9,0.3,0,1,1.4,2.2,1.6,1.2,0.3,1.2,0.5,0.7,1.9,4.1,4.8,0.1,64.6,2.4,2.1,0,0.5,0.1,0,0,57.1,42.9,78.9,7.3,38.2,39.7,1.4,0.7,78.9,CB,0
Christophe Hérelle,2019-2020,26,Nice,0.2,0,0.2,0.2,0,0,0,0.1,0.1,0,0.1,0.1,0.1,0.1,0,0.21,0.5,0.5,1,0.2,50,65.6,73.9,88.7,0.2,4.7,0.2,0.1,6.3,1263.4,413.5,22.1,23.2,95.4,37.3,40,93.3,5.8,9.2,43.7,193.5,124.4,0.9,0.6,0.2,0.2,0.2,62.5,0.9,0.2,0.2,0.7,0.7,44.1,0.2,0.1,1.4,0.9,1.1,0.9,0.2,0.3,1.1,0.7,0.5,1.4,2.5,2.1,0.1,68.7,5.1,1.6,0,0.2,0.8,0,0.1,37.5,62.5,81.9,6.9,31.3,44.9,6.1,0.7,81.9,CB,0
Christophe Hérelle,2020-2021,27,Brest,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.15,0.4,0,,0,0,51.6,59.1,87.3,0.2,2.9,0.1,0,3.9,1136.5,406.3,12.2,13.5,89.9,30,32.5,92.2,9.2,12.2,42.1,196.3,108.4,0.6,0.5,0,0.3,0.1,46.4,0.2,0,0,0.8,0.7,64.3,0.3,0,1.2,1,1.2,0.8,0.7,0.1,0.8,0.6,0.3,2,3.3,2.7,0.1,56.9,2.2,1.6,0,0.1,0.1,0,0,80,20,67.3,7.3,34.2,31.4,1.8,0.6,67.3,CB,0
Christophe Hérelle,2021-2022,28,Brest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.3,0,0,0.1,33.3,32.7,38.2,85.5,0.1,2.4,0.1,0,2.7,729.5,239,7.4,8.6,85.9,18.7,20.4,91.8,6.5,8.7,29.6,139.4,74.4,0.4,0.3,0.1,0.3,0.1,28.1,0.1,0,0,0.5,0.5,50,0.3,0,0.9,1.1,2.2,1.3,0.8,0.4,0.9,0.7,0.2,2,4.3,3.9,0,36.3,1.8,1.7,0,0.2,0,0,0.1,75,25,48.7,6.5,25.3,22.4,1.3,0.4,48.7,CB,0
Christopher Jullien,2017-2018,24,Toulouse,0,0.1,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.12,0.9,0.04,0.14,0.2,28,34,43.1,78.8,0.3,3,0.2,0,3.6,789.4,348,8.3,9.5,87.3,17.9,20.6,87.2,7.6,12.2,28.1,138.6,84.4,0.3,0.2,0,0.3,0.1,29.3,0.3,0.2,0.1,0.8,0.6,75.6,0.2,0,1.1,0.2,1.2,0.9,0.5,0.6,1,0.7,0.3,1.4,2.6,6.3,0.2,41.1,1.8,1.7,0,1,0.1,0,0.2,,,54.3,6.8,27.3,25.2,2.5,1.7,54.3,CB,0
Christopher Jullien,2018-2019,25,Toulouse,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,-0.1,0,0.13,0.7,0.04,0.25,0.1,16,36.7,44.3,82.8,0.3,2,0.1,0,3.7,763.5,340.4,11.6,13.3,87.4,18.9,21.1,89.3,5.9,8.9,28.5,148.4,96,0.3,0.1,0,0.4,0.1,33.3,0.3,0.2,0.1,1,0.7,74.1,0.2,0,1.3,0.5,1,0.7,0.4,0.6,1.2,0.8,0.4,1.2,2.3,6.1,0.1,42.5,1.6,1.5,0,0.6,0,0,0.1,57.1,42.9,55.8,7.7,28.1,25.6,2.3,1.5,55.8,CB,0
